东西征南北剿博古通今,0,东西战南北剿博古通呃今。
lsxp-WoZhuYe-ZhuiHanXin.xml_4,先进咸阳为皇上，,6795942.078844071,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_15,今夜晚怎能够盼到明天。,6803874.724636282,0.1
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,6811660.047451342,0.0
lsxp-QingGongYan-FaDongWu.xml_1,想起桃园结拜情。,6824125.107291341,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,6832513.627391225,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,6832513.627391225,0.1
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,6834668.259126,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_16,心中有事难合眼，,6836701.400416869,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_7,生死二字（喏）且由他！,6840247.674693169,0.0
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,6846311.184844412,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,6901923.718657156,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_1,文韬武略智谋高。,6940899.177642336,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_3,赏罚中公（呃）平莫要自由。,6949306.585826902,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,6965818.590980896,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_27,鸡鸣犬吠五更（哪）天，,6968362.401547008,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_3,满门的家着血染红。,6988552.916378948,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,6997701.382325456,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,7015225.007191631,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_11,鸡鸣犬吠五更（呃）天，,7018442.28995064,0.0
lsxp-DaHeYi-SiLangTanMu.xml_28,原来四哥回宋营。,7030923.588940613,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_1,陈宫心（呐）中乱如麻，,7032575.958450596,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_2,为千岁懒把朝房走，,7064368.94716433,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,7081654.901926043,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_0,一轮明月照窗下，,7085184.396763849,0.0
lsxp-DaHeYi-SiLangTanMu.xml_8,问我一言答一声。,7086090.143088673,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_14,悔不该把家属一（呀）旦撇下，,7109378.618904158,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_1,我立志不嫁那状元才郎。,7123282.857777577,0.0
daxp-ErTingDe-SuoLinNang.xml_24,忙把梅香低声叫，,7123742.345632913,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_3,身不爽不由人瞌睡朦胧（呃）。,7128582.413689038,0.0
lseh-YangYanZhao-PengBei.xml_2,迈虎步我且把宝帐来进，,7128970.624402658,0.0
lsxp-ZheYiFeng-DingJunShan.xml_5,三通鼓刀出鞘四通（呃）鼓把兵交。,7139278.619835917,0.1
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,7164436.2006951235,0.0
daxp-ErDeFu-HongNiGuan.xml_6,奴本当把关印付他执掌，,7165335.316420902,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,7182669.525961105,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,7195500.668894873,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_5,眼睁（呐）睁有何人去（呀）把纸烧。,7220012.557764979,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,7229290.032126282,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,7233905.159350197,0.0
