尊一声过往的宾朋听从头,0,尊一声过往的宾朋听从头：
lseh-XinZhongYou-WenZhaoGuan.xml_2,背地里只把东皋公怨，,5577486.074192669,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_2,官封到节度使（喏）皇王恩重，,5583408.185046794,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,5616486.253613272,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,5645420.138230688,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_20,若是真心来救我，,5646616.161679186,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_4,若是真心来救我，,5646616.161679186,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,5656936.9817421865,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,5662860.796278606,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,5685443.539011678,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_1,胡言乱语怎瞒（呐）咱！,5688074.733256572,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_10,千言万（哪）语她不肯，,5692249.595474106,0.0
lseh-ZiNaRi-HongYangDong.xml_7,去了我左右膀难以飞行。,5694458.524444606,0.0
lseh-JinZhongXiang-ShangTianTai.xml_2,文凭着邓先生策划有准，,5713630.909485811,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_3,耳听笙歌闹喧哗。,5725692.115487858,0.09090909090909091
lsxp-DaHeYi-SiLangTanMu.xml_11,我父令公官极品，,5728618.515874985,0.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,5737229.092283411,0.09090909090909091
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,5748870.792503805,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,5758322.213268953,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_1,拔剑斩蛇天下扬。,5765194.532897498,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,5778007.047234703,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,5778063.409588556,0.0
lsxp-ZouYingLong-DaYanSong.xml_13,在品级台（呀）前臣见君。,5792849.010897931,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_2,官封到节度使（喏）皇王恩重，,5795886.398679398,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,5797037.996466774,0.36363636363636365
lseh-XinZhongYou-WenZhaoGuan.xml_12,越思越想好伤惨，,5800022.98909784,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_4,山高路远少来问候，,5805393.956675099,0.0
sdxp-WoHeNi-SiLangTanMu.xml_15,宋营（哪）虽然路途远，,5810239.81010015,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,5813659.627807218,0.0
lseh-YangYanZhao-PengBei.xml_0,杨延昭奉父命巡查大营，,5815987.186643906,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,5818253.7215367695,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,5830367.235145451,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,5837525.116427204,0.09090909090909091
lsxp-WoBenShi-KongChengJi-2.xml_0,我本是卧龙岗散淡（呐）的人，,5845205.866730331,0.09090909090909091
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,5854693.52740434,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_7,一路上得遇陆贾、郦生与张良。,5858728.52232734,0.09090909090909091
sdxp-SuLongWei-WuJiaPo.xml_9,衙里衙外我打点，,5887075.303792679,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,5898287.613497644,0.0
lsxp-WoBenShi-KongChengJi-2.xml_9,我面前却少个知（呃）音的人。,5908084.32040822,0.09090909090909091
lsxp-WeiCengKai-QiYuanBao.xml_1,尊一声太爷听端详。,5911202.630781428,0.36363636363636365
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,5914029.698765297,0.09090909090909091
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,5931949.375219385,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,5964568.841901966,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,5968166.359398923,0.09090909090909091
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,5974480.815765957,0.0
lseh-ZenNengGou-BaDaChui.xml_2,前也思（喏）后又想无有计定，,5988209.81394543,0.0
