老军报他二人在洪羊洞丧命,0,老军报他二人在洪洋（呃）洞丧（呃）命，
lsxp-ZheYiFeng-DingJunShan.xml_2,站立在营门三军叫，,8681238.54405588,0.16666666666666666
lsxp-ZouYingLong-DaYanSong.xml_12,罢、罢、罢，暂且忍却我的心头恨，,8685921.17539412,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_2,眼见得忠良无救应，,8686749.385010697,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,8703294.452280363,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,8710704.753500015,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,8712313.948144462,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_6,舍子搭救忠（呃）良的后，,8736790.39604907,0.0
lseh-ZiNaRi-HongYangDong.xml_8,为此事终（啊）日里忧成疾病，,8756852.986709004,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,8769721.52821443,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_3,悔不该随他人到吕家，,8780540.923532108,0.16666666666666666
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,8791903.732483815,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,8792549.700107057,0.08333333333333333
lsxp-WoZhuYe-ZhuiHanXin.xml_8,一路上秋毫无犯军威壮，,8793755.2448904,0.08333333333333333
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,8798533.503562411,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_9,我也曾约法定过三章。,8909294.210852899,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_1,拔剑斩蛇天下扬。,8927866.699188353,0.0
lsxp-WoBenShi-KongChengJi-2.xml_8,闲无（呃）事在敌楼（呃）我亮一亮琴（呢）音，,8940820.633142956,0.08333333333333333
lseh-YiLunMing-ZhuoFangCao-2.xml_3,悔不该随他人到吕家。,8946901.76050165,0.16666666666666666
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,8972644.955173453,0.0
lseh-ZiNaRi-HongYangDong.xml_3,那乃是萧天佐以（呀）假成真；,8986084.246601788,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_13,想当初在朝为官宦，,8986127.906154305,0.08333333333333333
lseh-YiLunMing-WenZhaoGuan-1.xml_29,想当初在朝为官宦，,8986127.906154305,0.08333333333333333
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,8998800.162595458,0.08333333333333333
lsxp-WoBenShi-KongChengJi-1.xml_8,闲无哇事在敌楼哇我亮（呃）一亮琴哪音，,9005285.310254687,0.08333333333333333
lsxp-WoZhuYe-ZhuiHanXin.xml_3,两路分（呐）兵定咸阳。,9015400.150916092,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,9038277.697545808,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,9043536.220231827,0.08333333333333333
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,9060918.941662148,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,9075298.79808177,0.0
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,9089765.204400092,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,9094144.32375837,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,9136261.072870063,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_4,幸遇那东皋公行方便，,9156481.53006978,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_2,悔不该心猿并意马，,9158306.071161853,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,9162998.512485463,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,9174124.741000392,0.08333333333333333
lseh-NiangZiBu-SouGuJiuGu.xml_11,不舍娇儿难救孤身。,9174386.714571346,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_7,（啊）生死二字（喏）且由他。,9181976.00534333,0.16666666666666666
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,9189957.619424632,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_6,一连几天我的眉不（呃）展，,9196975.384748388,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,9199800.338597657,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,9215439.791860905,0.08333333333333333
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,9218119.559831627,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,9241318.518752724,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,9258693.892144645,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,9298882.023102501,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,9309868.188309783,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,9313262.683999024,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,9320836.56753036,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,9324777.212678181,0.08333333333333333
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,9328085.249596955,0.08333333333333333
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,9352051.037189007,0.08333333333333333
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,9354145.967725927,0.08333333333333333
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,9359126.617837386,0.0
lsxp-YiShiWu-YuCangJian.xml_8,实指（喏）望到吴国借兵（呐）转，,9367315.71532215,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,9368710.331344929,0.08333333333333333
lseh-XiRiLi-BaoLianDeng.xml_12,为父的怎比得孤竹君，,9396711.343404999,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,9446934.02274017,0.08333333333333333
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,9456431.00640431,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,9466194.888894822,0.0
lseh-JinZhongXiang-ShangTianTai.xml_5,又听得殿角下大放悲声。,9473732.469361592,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,9480023.876490735,0.08333333333333333
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,9481154.292307368,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,9483800.229405506,0.0
lseh-ZiNaRi-HongYangDong.xml_7,去了我左右膀难以飞行。,9490248.245236292,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,9524787.858204661,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,9532529.037792914,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,9532708.729331164,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_6,三人同把那鬼门关上踏，,9535786.489463607,0.08333333333333333
