左手拉住了李左车,0,左手拉住了李左车，
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,6212115.071814628,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,6215009.578542207,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,6221480.427897501,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,6229720.505879848,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,6230172.292160905,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_4,吕伯奢可算得义气大，,6235272.4023089735,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_1,我也曾平服了塞北西东。,6250018.795570924,0.125
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,6257237.034804275,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,6289502.034666819,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,6293846.292960534,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,6307697.936528158,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_5,杀猪（喏）沽酒款待与他，,6314793.62457384,0.0
lsxp-ZouYingLong-DaYanSong.xml_12,罢、罢、罢，暂且忍却我的心头恨，,6317784.12165022,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,6332891.078001654,0.0
lsxp-JiangShenEr-SanJiaDian.xml_11,儿行千里母担忧。,6334156.606640985,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,6337239.418720943,0.0
lsxp-ZiGuDao-HuangHeLou.xml_2,曾记得当年赴河梁，,6340788.278151309,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,6342723.894949171,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_35,父母的冤仇化尘烟，,6345927.374263001,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,6353590.349979032,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,6356013.655260615,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,6388106.358928848,0.0
lsxp-WoBenShi-KongChengJi-2.xml_8,闲无（呃）事在敌楼（呃）我亮一亮琴（呢）音，,6394321.117927059,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,6398376.863860404,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,6407826.350266446,0.0
lseh-ZiNaRi-HongYangDong.xml_6,老军报他二人在洪洋（呃）洞丧（呃）命，,6408483.007930014,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,6418839.396671276,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,6426271.479212319,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,6434745.030215858,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,6437174.944844399,0.0
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,6442686.161594919,0.0
lseh-ZiNaRi-HongYangDong.xml_7,去了我左右膀难以飞行。,6447219.167398839,0.375
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,6461739.17437979,0.0
lsxp-ZiGuDao-HuangHeLou.xml_4,今日主公把宴上，,6466251.738144889,0.0
