因此上发配到登洲,0,因此上发配到登州。
lseh-YiLunMing-WenZhaoGuan-1.xml_17,翻来覆去睡不（哇）安。,4093411.7867037803,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,4098752.431485099,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,4098841.6485678894,0.125
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,4105100.373438037,0.0
sdxp-SuLongWei-WuJiaPo.xml_22,一马双跨到西凉。,4106397.498461585,0.125
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,4106893.0104410453,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,4107605.0279235854,0.0
lseh-YangYanZhao-PengBei.xml_1,在中途得一信甚是不明。,4128462.37518744,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_5,杀猪（喏）沽（哇）酒款待于他，,4136426.148190212,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,4143799.5193215646,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,4164862.5006406945,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,4166507.7885106443,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_0,深宫无（哇）处不飞花，,4167684.168498928,0.0
sdxp-DangNianHan-SanJiZhang.xml_4,仙女嫁的又是何人？,4174085.5658537876,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_2,为千岁懒把朝房走，,4177121.2165041408,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,4186635.01267141,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,4199940.094752138,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,4208289.667403985,0.0
lseh-JinZhongXiang-ShangTianTai.xml_3,武仗着姚皇兄保定乾坤。,4217461.659011182,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_11,我好比龙游在浅沙滩。,4227936.561849404,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_3,满门的家着血染红。,4233514.043440341,0.0
sdxp-DangNianHan-SanJiZhang.xml_6,句句话儿伤父心。,4240654.947909488,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_13,我好（呃）比波浪中失舵的舟船（喏）。,4265291.7327098055,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,4291481.903885746,0.0
sdxp-DangNianHan-SanJiZhang.xml_5,我的儿说话言不逊，,4296275.925045482,0.0
lsxp-ZouYingLong-DaYanSong.xml_6,我劝顽童你休流泪，免悲声，邹老爷就是尔的报仇人。,4300153.914900915,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,4317508.809055645,0.0
lsxp-WeiCengKai-QiYuanBao.xml_8,赵大夫妻图财害命害我一命亡，,4322095.181099588,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,4345064.152468208,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_11,我好比龙游在浅沙滩。,4350884.909626141,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_4,叫焦赞将宝剑悬挂帐外，,4354806.757321427,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,4359846.240276666,0.125
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,4372317.559578337,0.125
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,4381279.1592198815,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,4385803.209523696,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_1,老娘亲为什么不讲情来？,4386022.971763528,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,4401029.128158169,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,4415591.694724754,0.0
lsxp-ZheYiFeng-DingJunShan.xml_5,三通鼓刀出鞘四通（呃）鼓把兵交。,4429514.421286016,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,4440774.443594472,0.0
lsxp-DaHeYi-SiLangTanMu.xml_8,问我一言答一声。,4469139.382411478,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_11,反将我主贬汉王。,4479447.951420487,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,4481475.524251164,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,4496128.301925127,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,4503196.007196288,0.125
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,4506140.917513497,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,4511310.251823789,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,4523338.863943993,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_13,我好（哇）比波浪中失舵的舟船（哪）。,4526958.555027649,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_18,背地里只把东皋公怨，,4529301.741818386,0.0
lsxp-DaHeYi-SiLangTanMu.xml_2,杨家将令鬼神惊。,4537568.000368937,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,4540071.929719678,0.0
lseh-ZiNaRi-HongYangDong.xml_7,去了我左右膀难以飞行。,4545815.728112558,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,4558400.734438557,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_14,思来想去我的肝肠断，,4562232.16557245,0.0
