杨林与我来争斗,0,杨林与我来争斗，
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,12119917.016015701,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,12264631.330708722,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_5,靠山近水把营收。,12300954.10240105,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,12349642.032876581,0.0
sdxp-SuLongWei-WuJiaPo.xml_14,将银放在地平川。,12406602.44242748,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,12411727.252930274,0.14285714285714285
lseh-XiRiLi-BaoLianDeng.xml_5,那伯夷尊父命也不能应承，,12496884.584068475,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,12500681.613762598,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,12509162.014954774,0.2857142857142857
lsxp-ZouYingLong-DaYanSong.xml_9,那一旁坐的就是严阁老，,12524016.60684093,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,12559916.976479746,0.14285714285714285
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,12667222.332860239,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,12670560.425365793,0.2857142857142857
lseh-XiRiLi-BaoLianDeng.xml_14,打死了别家子父能作主，,12684714.865855731,0.0
sdxp-WoHeNi-SiLangTanMu.xml_3,杨廷辉有一日愁眉得展，,12733536.321116915,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_22,一马双跨到西凉。,12773051.153701978,0.0
lseh-ZiNaRi-HongYangDong.xml_8,为此事终（啊）日里忧成疾病，,12778829.26491031,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_8,俺伍员好一似丧家犬，,12792168.167100525,0.0
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,12826760.198245764,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,12827745.244699636,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,12896220.869406093,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,12897974.963852143,0.0
lsxp-YiShiWu-YuCangJian.xml_2,日月轮流催晓（哇）箭，,12901094.81113218,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,12939181.350718813,0.2857142857142857
lsxp-LiangGuoJiao-ShiJieTing-2.xml_5,靠山近水把管收。,12945760.129228413,0.0
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,12955443.952322682,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,12974417.53129042,0.14285714285714285
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,12988088.202971047,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_5,杀猪（喏）沽（哇）酒款待于他，,13015817.842298528,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_7,老天爷不绝我的后代根。,13050954.072300578,0.14285714285714285
