实难舍街坊四邻与我的 好朋友,0,实难舍街坊四邻与我的好朋友，
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,6239264.467029234,0.07142857142857142
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,6243191.107092476,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,6253302.989801133,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,6272013.1326525975,0.0
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,6292662.750954566,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,6301555.23597954,0.0
sdxp-SuLongWei-WuJiaPo.xml_19,是烈女就该在家院，,6306994.38924118,0.0
sdxp-SuLongWei-WuJiaPo.xml_21,为军起下不良的意呀，,6320149.379317718,0.07142857142857142
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,6348704.555260787,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,6359807.576110804,0.07142857142857142
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,6360869.717432418,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,6370099.135484357,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,6371029.822029996,0.0
lsxp-DaHeYi-SiLangTanMu.xml_21,龙行虎步非凡等，,6396580.192391157,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_10,项羽不遵怀王约，,6396927.02033115,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_12,今日里萧何荐良将，,6403076.879095831,0.0
lsxp-ZouYingLong-DaYanSong.xml_1,在朝房来了我这保国忠。,6434258.740840644,0.07142857142857142
lsxp-ZouYingLong-DaYanSong.xml_10,他本是我朝中上欺天子下压臣谋朝篡位卖国的奸贼他名叫严嵩，,6446407.475447695,0.14285714285714285
sdxp-DangNianHan-SanJiZhang.xml_6,句句话儿伤父心。,6448464.4826042745,0.0
lsxp-WeiCengKai-QiYuanBao.xml_3,姓刘名安字世昌。,6450993.916336874,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,6455740.66018407,0.07142857142857142
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,6466790.249462091,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,6470195.586904113,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_6,又谁知此贼的疑心（呐）太（呀）大，,6485810.124247699,0.07142857142857142
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,6490869.355355227,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_11,鸡鸣犬吠五更（呃）天，,6492896.7167968685,0.0
lsxp-JiangShenEr-SanJiaDian.xml_2,一不是响马与贼寇，,6494867.732185658,0.07142857142857142
lsxp-WeiCengKai-QiYuanBao.xml_6,行至在中途把雨降，,6495761.081781998,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,6504905.258400362,0.0
lsxp-WeiCengKai-QiYuanBao.xml_0,未曾开言泪汪汪，,6507701.99509565,0.0
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,6517952.915228848,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_4,左手拉住了李左车，,6539406.856317237,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,6541249.865298006,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,6544412.046224421,0.14285714285714285
lseh-TuZeiZuo-SouGuJiuGu.xml_3,大事还要问程婴。,6550387.548316531,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,6569010.573427227,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_27,鸡鸣犬吠五更（哪）天，,6575377.632926613,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,6576044.009774606,0.0
lseh-ZiNaRi-HongYangDong.xml_6,老军报他二人在洪洋（呃）洞丧（呃）命，,6577878.638556878,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,6589949.363445953,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,6590503.087373334,0.0
lsxp-DaHeYi-SiLangTanMu.xml_13,十五年前沙滩会，,6592920.084432173,0.0
lsxp-WeiCengKai-QiYuanBao.xml_8,赵大夫妻图财害命害我一命亡，,6606508.194609994,0.07142857142857142
lseh-LaoZhangBu-WuPenJi.xml_7,望求老丈把冤伸。,6608111.402824244,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,6624228.10392409,0.07142857142857142
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,6645311.516535396,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,6653316.676364209,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,6653776.99098254,0.07142857142857142
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,6667861.21815699,0.0
sdxp-WoHeNi-SiLangTanMu.xml_6,有一桩心腹事不敢明言。,6683473.853200564,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,6686151.30577453,0.07142857142857142
lseh-YangYanZhao-PengBei.xml_3,又只见老爹爹瞌睡沉沉。,6711632.557978827,0.0
lsxp-ZouYingLong-DaYanSong.xml_7,站立在殿角用目来观定，,6719907.659847935,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_1,文韬武略智谋高。,6726878.368973217,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,6745144.754052841,0.07142857142857142
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,6763190.100126883,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,6769975.547309751,0.07142857142857142
lsxp-ZouYingLong-DaYanSong.xml_11,我本当金（哪）殿奏一本怎奈我官卑职小不能够参大臣。,6772185.994073517,0.07142857142857142
lseh-YiLunMing-ZhuoFangCao-1.xml_13,越思越想把事来作差。,6791563.412847578,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,6799111.959543146,0.07142857142857142
lseh-YiLunMing-ZhuoFangCao-2.xml_6,又谁知此贼的疑心太大，,6799976.646497506,0.07142857142857142
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,6801917.540805034,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,6810566.144392698,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,6811780.239731655,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,6826485.672106128,0.07142857142857142
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,6828906.412087032,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,6830238.707939888,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,6838508.955456189,0.07142857142857142
lseh-YiLunMing-ZhuoFangCao-1.xml_14,悔不该把家属一（呀）旦撇下，,6838778.041991456,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,6842217.710933052,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,6862570.373773901,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,6886677.877897325,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,6895772.04797118,0.07142857142857142
lseh-XuMaoGong-QinQiongFaPei.xml_2,既是为我前来到，,6898031.225463736,0.07142857142857142
lseh-YiLunMing-ZhuoFangCao-2.xml_7,拔出剑将他的满门杀。,6904118.341728912,0.07142857142857142
lseh-YiLunMing-ZhuoFangCao-1.xml_7,拔出剑将他的满门杀，,6906251.182004962,0.07142857142857142
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,6909073.6116605615,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,6916837.84373725,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,6923761.715127796,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,6948428.18310555,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_15,到如今夜宿在荒村院，,6966465.79728878,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_31,到如今夜宿在荒村院，,6966465.79728878,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_9,年迈的老丈命（呐）染黄沙。,6969975.713830773,0.07142857142857142
lsxp-ZiGuDao-HuangHeLou.xml_2,曾记得当年赴河梁，,6979703.958689742,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_9,年迈老丈命染黄沙。,6989556.82522928,0.0
lseh-XiRiLi-BaoLianDeng.xml_4,那叔齐分长幼不能担任，,6992347.45626302,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_1,诬杀赵家一满门。,7008467.362853208,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_1,老娘亲为什么不讲情来？,7024293.865756858,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,7030256.749110249,0.07142857142857142
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,7033855.946684327,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_7,拔出剑将他的满门杀，,7055461.259908725,0.07142857142857142
