娘生儿，连心肉,0,娘生儿连心肉，
lseh-YiLunMing-WenZhaoGuan-1.xml_8,俺伍员好一似丧家犬，,12242669.312659621,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,12248848.7077172,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,12255415.008052835,0.14285714285714285
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,12258090.890568169,0.2857142857142857
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,12294444.609509336,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_8,一家人倶丧在宝剑之下，,12320199.91173974,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,12320515.554675726,0.0
lseh-WeiKaiYan-RangXuZhou.xml_2,二犬子（呃）皆年幼（哇）难当（呃）重任，,12343992.049739372,0.14285714285714285
lseh-NiangZiBu-SouGuJiuGu.xml_12,无奈何我只得双（呃）膝跪，,12457629.626919346,0.14285714285714285
lsxp-ZheYiFeng-DingJunShan.xml_1,天助黄忠成功劳。,12542318.86795163,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,12547536.958777014,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_5,靠山近水把管收。,12552164.705589985,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,12558573.740036031,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_15,到如今夜宿在荒村院，,12623420.50335475,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-1.xml_31,到如今夜宿在荒村院，,12623420.50335475,0.14285714285714285
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,12623444.523871258,0.14285714285714285
lsxp-DaHeYi-SiLangTanMu.xml_5,弟兄们分别十五春，,12641030.266482564,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,12669492.9877021,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,12684395.573256286,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,12769682.427236902,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,12774732.488263892,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_8,俺伍员好一似丧家犬，,12816517.958617913,0.14285714285714285
lsxp-QingGongYan-FaDongWu.xml_0,庆功宴上把酒饮，,12914060.6816145,0.14285714285714285
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,12965333.425182467,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,13013352.770681048,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_7,大嫂说话礼不端，,13019104.574970236,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,13035871.115872726,0.0
lsxp-JianMaSu-ZhanMaSu.xml_0,见马谡（唩）跪帐下，,13049309.000268148,0.14285714285714285
lseh-XiRiLi-BaoLianDeng.xml_9,那叔齐逃出了后宰门，,13051731.56098588,0.14285714285714285
