他将我隐藏在后花园,2,他将我隐藏在后花园。
lsxp-ZheYiFeng-DingJunShan.xml_5,三通鼓刀出鞘四通（呃）鼓把兵交。,7969619.254132261,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_0,张公道三十五六（哇）子有靠，,7973402.208831602,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_0,徐茂公阴阳多奥妙，,7975813.472140107,0.0
lsxp-QingGongYan-FaDongWu.xml_3,又谁知中途两离分。,7977334.664672959,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,7984154.614481039,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,7985068.1968099,0.1111111111111111
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,7994087.362536938,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,7996582.93791453,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_12,听谯楼打罢了二（喏）更鼓下，,8000042.004566537,0.0
lsxp-YiShiWu-YuCangJian.xml_1,叹光明一去不回还（呐）；,8003258.24718339,0.0
lseh-XiRiLi-BaoLianDeng.xml_13,二娇儿也难比那两个贤人。,8013435.937851395,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,8024445.646423765,0.1111111111111111
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,8064402.67295816,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,8081575.657413944,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,8084035.502788749,0.0
lsxp-WoBenShi-KongChengJi-1.xml_9,我面前缺少个知呃音的人。,8087807.291851666,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,8104252.387096683,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,8119132.885291699,0.0
lsxp-JiangShenEr-SanJiaDian.xml_1,尊一声过往的宾朋听从头：,8141847.6968721645,0.0
