啊、生死二字且由他,0,（啊）生死二字（喏）且由他。
sdxp-WoHeNi-SiLangTanMu.xml_1,我和你好夫妻恩德不浅，,7902519.521922058,0.0
lseh-ZiNaRi-HongYangDong.xml_0,自（喏）那日朝罢归身（呐）染重病，,7937885.922517039,0.0
sdxp-SuLongWei-WuJiaPo.xml_4,咬定牙关他就不认承。,7957765.184851399,0.1111111111111111
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,7961818.518571576,0.0
lsxp-YiShiWu-YuCangJian.xml_3,靠山绿（哇）水常在面前。,7971744.074300742,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,7972171.375930687,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,8012298.534019251,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,8028920.2837947635,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,8034167.276837935,0.1111111111111111
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,8044265.17968538,0.0
sdxp-WoHeNi-SiLangTanMu.xml_18,将身跪在地平川。,8050626.253996343,0.0
lsxp-ZouYingLong-DaYanSong.xml_5,他言道严嵩老贼害他的举家一满门。,8053608.8090574425,0.1111111111111111
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,8065162.857601386,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_0,屠贼做事心太狠，,8071880.594058418,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,8074112.775436813,0.0
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,8082424.826594325,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,8092920.640950773,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_5,他将我隐藏在后花园。,8132735.079870497,0.1111111111111111
lsxp-WoZhuYe-ZhuiHanXin.xml_9,我也曾约法定过三章。,8138640.927950586,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_21,贼好比猛虎未（呀）曾长牙，,8139952.098325381,0.0
lseh-YangYanZhao-PengBei.xml_4,我本当将此事对他来论，,8165719.402904043,0.1111111111111111
lseh-YiLunMing-WenZhaoGuan-2.xml_12,我好（呃）比鱼儿吞了钩线，,8167887.72377074,0.0
lseh-WeiKaiYan-RangXuZhou.xml_1,天卸重任我就要（哇）你担承。,8168399.936853949,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,8182520.7407757295,0.0
