二次里命孟良番营来进,1,二次（喏）里命孟良番营来进，
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,9581056.430427626,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,9598621.312096713,0.0
lsxp-JiangShenEr-SanJiaDian.xml_11,儿行千里母担忧。,9614812.549294742,0.1
sdxp-SuLongWei-WuJiaPo.xml_16,送与大嫂把家安。,9641551.475070447,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,9653351.67062356,0.0
daxp-DangRiLi-SuoLinNang.xml_6,虽然是古青庐以朴为俭，,9662933.894742908,0.0
lsxp-JianMaSu-ZhanMaSu.xml_2,大胆不听我的话，,9668699.566744365,0.0
lsxp-YiShiWu-YuCangJian.xml_5,信用无极狗奸谗。,9688665.98854981,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,9696906.305099715,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,9703677.841501882,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,9710669.250463072,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,9720194.014660815,0.1
lsxp-ZouYingLong-DaYanSong.xml_12,罢、罢、罢，暂且忍却我的心头恨，,9727951.092606323,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,9728213.7954221,0.0
lseh-LaoZhangBu-WuPenJi.xml_7,望求老丈把冤伸。,9743724.245333826,0.0
lsxp-WeiCengKai-QiYuanBao.xml_3,姓刘名安字世昌。,9762306.326008992,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,9763974.336193888,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_12,越思越想好伤惨，,9775283.422923608,0.0
sdxp-WoHeNi-SiLangTanMu.xml_20,黄沙盖脸尸骨不全。,9780918.369432313,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_3,悔不该随他人到吕家，,9816326.100167898,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_17,汉室后来贼是个惹祸的根芽。,9825361.860418353,0.1
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,9833148.274066564,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,9837350.561809199,0.1
lsxp-ZhangGongDao-ZhuangYuanPu.xml_3,为儿（喏）女我也曾补路修桥。,9859930.999220895,0.0
sdxp-SuLongWei-WuJiaPo.xml_19,是烈女就该在家院，,9861335.912316127,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,9867491.719821004,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,9876104.244993156,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_2,我先前只望他宽宏量（呃）大，,9880112.348782634,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_2,我先前只望他宽宏量（呃）大，,9880112.348782634,0.0
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,9881542.403016679,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_15,到如今夜宿在荒村院，,9884183.249545574,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_31,到如今夜宿在荒村院，,9884183.249545574,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,9887591.636537293,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,9894931.63780987,0.0
sdxp-WoHeNi-SiLangTanMu.xml_9,我有心回宋营见母一面，,9932044.869824525,0.1
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,9939765.245538307,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_1,年老得配女娇娃。,9941872.662251508,0.0
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,9985291.156579204,0.1
sdxp-WoHeNi-SiLangTanMu.xml_13,公主赠我的金鈚箭，,9994683.1091683,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,10016573.099651452,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,10028756.296475671,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,10035354.864383552,0.1
sdxp-WoHeNi-SiLangTanMu.xml_1,我和你好夫妻恩德不浅，,10065822.25245861,0.0
