实指望到吴国借兵回转,0,实指（惹）望到吴国借兵回转，
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,6703689.466956354,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,6704983.346559872,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,6705450.869309855,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,6709801.975407427,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,6709801.975407427,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,6727536.810194671,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,6728255.475946589,0.2
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,6731998.981900167,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,6733267.985524011,0.0
lsxp-YiShiWu-YuCangJian.xml_4,恨平王无道纲常乱，,6735829.600604331,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_0,听他言听得我心（呐）惊胆怕，,6738412.021777049,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_0,听他言吓得我心（呐）惊胆怕，,6738412.021777049,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_27,鸡鸣犬吠五更（哪）天，,6748250.770073359,0.0
lsxp-YiShiWu-YuCangJian.xml_2,日月轮流催晓（哇）箭，,6752285.6908571115,0.0
sdxp-WoHeNi-SiLangTanMu.xml_13,公主赠我的金鈚箭，,6752551.5566118015,0.0
lsxp-ZouYingLong-DaYanSong.xml_0,忽听得万岁宣应龙，,6761648.154595831,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,6764880.312805976,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,6766785.573528152,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,6773422.208365027,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,6774743.13944738,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_19,父母的冤仇化尘烟，,6780219.54836691,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,6795924.645917352,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_11,鸡鸣犬吠五更（呃）天，,6810329.758125774,0.0
lseh-WeiKaiYan-RangXuZhou.xml_3,老朽年迈我也不能够担承。,6811309.810497662,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,6812015.656022157,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_5,眼睁（呐）睁有何人去（呀）把纸烧。,6812379.359949382,0.0
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,6819141.820839012,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,6821619.22415065,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_0,为国家哪何曾半日闲空，,6827999.629908839,0.1
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,6855699.391883621,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,6855868.238974096,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,6856668.41192742,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_15,到如今夜宿在荒村院，,6872892.001363691,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_31,到如今夜宿在荒村院，,6872892.001363691,0.1
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,6875251.24204281,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_1,拔剑斩蛇天下扬。,6877295.912556401,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,6877969.887143242,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,6884951.622443084,0.0
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,6885299.755486692,0.0
sdxp-SuLongWei-WuJiaPo.xml_5,西凉川四十单八站，,6885794.8017653385,0.0
lseh-XiRiLi-BaoLianDeng.xml_3,传口诏命次子即位为君，,6888283.017955416,0.0
lsxp-JianMaSu-ZhanMaSu.xml_1,不由老夫咬钢牙，,6899302.416854675,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,6901570.6995692225,0.0
sdxp-SuLongWei-WuJiaPo.xml_22,一马双跨到西凉。,6902532.781295682,0.1
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,6903406.499843366,0.0
lsxp-QingGongYan-FaDongWu.xml_3,又谁知中途两离分。,6905999.739763573,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_28,越思越想好伤惨，,6916648.827593526,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,6919034.378216919,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,6921068.4549530335,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_12,越思越想好伤惨，,6929582.871354219,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,6931899.3995938655,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,6936590.30812141,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,6936976.033173358,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_3,两路分（呐）兵定咸阳。,6939820.302980907,0.1
sdxp-SuLongWei-WuJiaPo.xml_12,百般调戏也枉然。,6944601.736591941,0.0
lsxp-WoBenShi-KongChengJi-2.xml_9,我面前却少个知（呃）音的人。,6944739.298099325,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,6950800.811508901,0.0
sdxp-SuLongWei-WuJiaPo.xml_8,为军哪怕到官前。,6954967.493389122,0.1
lseh-YiLunMing-ZhuoFangCao-2.xml_3,悔不该随他人到吕家。,6962855.918030558,0.1
lsxp-ZuoRiLi-YuanMenZhanZi.xml_2,今日里斩宗保娘把儿怪，,6965633.814720626,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_1,文韬武略智谋高。,6967724.391982648,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,6967866.01408053,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,6973018.715597447,0.0
