为什么事到如今耍奸滑,0,为什么事到如今耍奸滑？
lseh-YangYanZhao-PengBei.xml_4,我本当将此事对他来论，,7967346.263329928,0.1
lseh-YiLunMing-ZhuoFangSuDian.xml_3,悔不该随他人到吕家。,7969561.364818427,0.1
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,7996385.002629647,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,7999618.57767183,0.0
lsxp-JiangShenEr-SanJiaDian.xml_12,儿想娘亲难叩首，,8011525.572794514,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_14,朝臣待漏五更寒。,8013927.898864601,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_5,靠山近水把管收。,8032159.578232877,0.0
lseh-XiRiLi-BaoLianDeng.xml_7,兄（呃）推弟来两不能够担承。,8054077.831572441,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_8,一家人倶丧在宝剑之下，,8060778.053834075,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_5,靠山近水把营收。,8065738.91830895,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_24,执宝剑将贼的（呀）头割下，,8078070.179424529,0.0
lsxp-ZiGuDao-HuangHeLou.xml_4,今日主公把宴上，,8088557.305896678,0.1
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,8099693.851941123,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_4,此一番领（呃）兵去镇守，,8106127.324980202,0.0
lsxp-JiangShenEr-SanJiaDian.xml_13,娘想儿来泪双流。,8107261.285878191,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_11,不舍娇儿难救孤身。,8144104.168760173,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,8147315.060929329,0.1
lsxp-LiangGuoJiao-ShiJieTing-1.xml_4,此一番领兵去镇守，,8175513.24460548,0.0
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,8185505.539903334,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_10,我好（哇）比哀哀长空雁，,8193616.659810599,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,8194436.356528917,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_2,实指（惹）望到吴国借兵回转，,8204422.52191506,0.1
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,8212987.097475334,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,8215039.454317432,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,8220572.360967345,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,8247265.020899327,0.0
lsxp-WoBenShi-KongChengJi-1.xml_6,周文王访姜尚周室大振，,8258672.009780175,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,8259843.249848337,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,8263546.087189397,0.0
