诸葛亮怎比得前辈的先生,22,俺诸（喏）葛怎比得前辈呀的先哪生。
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,11199054.552642878,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,11204618.632450018,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,11212048.719336784,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,11230416.644847812,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,11267488.308754614,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,11318428.76599126,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_7,拔出剑将他的满门杀。,11320013.395988522,0.09090909090909091
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,11338398.647616701,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,11353780.90853925,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_13,越思越想把事来作差。,11358415.37834411,0.0
sdxp-SuLongWei-WuJiaPo.xml_22,一马双跨到西凉。,11360802.575067436,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_4,此一番领兵去镇守，,11362943.979038857,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_0,张公道三十五六（哇）子有靠，,11379562.445103956,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,11383127.959716383,0.0
