叫一声解差把店投,8,叫一声解差把店役。
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,5064504.953086302,0.25
lseh-WeiGuoJia-HongYangDong-2.xml_0,为国家哪何曾半日闲空，,5068740.045813479,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,5091281.528730763,0.125
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,5106705.447514163,0.0
lsxp-ZheYiFeng-DingJunShan.xml_6,向前各各有赏犒，,5107523.632158668,0.0
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,5120214.731947373,0.125
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,5121069.978802228,0.125
sdxp-SuLongWei-WuJiaPo.xml_14,将银放在地平川。,5124510.644064018,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,5125112.437638098,0.0
lsxp-YiShiWu-YuCangJian.xml_7,我与奸贼不共戴天！,5143146.023794997,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,5147512.897705843,0.125
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,5147512.897705843,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,5148623.491450341,0.125
sdxp-SuLongWei-WuJiaPo.xml_5,西凉川四十单八站，,5162815.635247871,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,5171122.278726779,0.0
sdxp-DangNianHan-SanJiZhang.xml_2,未央宫斩的是何人？,5173112.572717095,0.0
lsxp-WeiCengKai-QiYuanBao.xml_4,奉母命京城往，,5182750.822388727,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,5189073.437926956,0.125
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,5197238.61764557,0.0
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,5197445.445466077,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,5203303.295049703,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,5213300.590982973,0.125
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,5221362.220317201,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,5224919.8178218305,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_11,鸡鸣犬吠五更（呃）天，,5227780.709170689,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,5238044.780317623,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_24,执宝剑将贼的（呀）头割下，,5243687.070150686,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_4,此一番领兵去镇守，,5247435.408600339,0.125
lseh-YangYanZhao-PengBei.xml_0,杨延昭奉父命巡查大营，,5258157.61250943,0.0
lsxp-QingGongYan-FaDongWu.xml_2,弟兄们创业多艰难，,5261799.84660931,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_20,对天发下宏誓愿，,5276021.098864246,0.0
sdxp-WoHeNi-SiLangTanMu.xml_15,宋营（哪）虽然路途远，,5284213.440891558,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_5,眼睁（呐）睁有何人去（呀）把纸烧。,5290958.333334077,0.125
lsxp-ZouYingLong-DaYanSong.xml_1,在朝房来了我这保国忠。,5313325.756744528,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,5316886.30546435,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,5317330.321350511,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_0,听他言听得我心（呐）惊胆怕，,5326248.094879328,0.0
