娘生儿，连心肉,0,娘生儿连心肉，
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,11944214.686902381,0.14285714285714285
lsxp-WoZhuYe-ZhuiHanXin.xml_7,一路上得遇陆贾、郦生与张良。,11949296.381530713,0.14285714285714285
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,11990374.598814381,0.14285714285714285
lseh-WeiKaiYan-RangXuZhou.xml_2,二犬子（呃）皆年幼（哇）难当（呃）重任，,12061503.155786606,0.14285714285714285
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,12116207.20206251,0.0
sdxp-SuLongWei-WuJiaPo.xml_21,为军起下不良的意呀，,12122509.794092044,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-2.xml_11,我好比龙游在浅沙滩。,12151897.50053461,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,12163204.679840943,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,12197356.31033231,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,12205932.257222105,0.14285714285714285
daeh-SunShangXiang-BieHuangGong.xml_9,叹一声不由人珠泪涟涟。,12221568.357198821,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,12227265.71616345,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,12258540.80057222,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,12291704.926062759,0.14285714285714285
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,12310656.029030321,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,12320522.808740543,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,12331622.97867226,0.14285714285714285
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,12335847.92858164,0.14285714285714285
