儿想娘亲难叩首,0,儿想娘亲难叩首，
lsxp-ZouYingLong-DaYanSong.xml_10,他本是我朝中上欺天子下压臣谋朝篡位卖国的奸贼他名叫严嵩，,7978168.005041387,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_3,两路分（呐）兵定咸阳。,7979016.825843217,0.0
lsxp-WeiCengKai-QiYuanBao.xml_6,行至在中途把雨降，,7988845.051785755,0.0
lsxp-WeiCengKai-QiYuanBao.xml_0,未曾开言泪汪汪，,8007199.269539108,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_3,哭啼啼坐宝帐所为何来。,8025372.06960659,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_11,鸡鸣犬吠五更（呃）天，,8031850.053544666,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,8031978.994166276,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,8032141.351925048,0.14285714285714285
lsxp-LiangGuoJiao-ShiJieTing-1.xml_4,此一番领兵去镇守，,8051123.752557667,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,8052673.077498618,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,8066415.043432391,0.0
lsxp-WeiCengKai-QiYuanBao.xml_3,姓刘名安字世昌。,8086759.97774502,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,8098577.655055957,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,8100469.170221672,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,8100469.170221672,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,8104251.782393186,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,8127483.673184565,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,8138824.67878416,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,8142276.469054248,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_5,右手再把栾布拉，,8174738.014839157,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_27,鸡鸣犬吠五更（哪）天，,8182194.931763383,0.0
sdxp-WoHeNi-SiLangTanMu.xml_13,公主赠我的金鈚箭，,8189371.473779565,0.0
lsxp-DaHeYi-SiLangTanMu.xml_20,见一番汉帐中行。,8244580.143780924,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_4,我与那公孙杵臼把计定，,8264183.410463353,0.0
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,8273781.235887068,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,8291455.832760764,0.0
sdxp-DangNianHan-SanJiZhang.xml_6,句句话儿伤父心。,8317834.925530113,0.14285714285714285
