右手再把栾布拉,0,右手再把栾布拉。
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,7084864.423569745,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,7142022.092071806,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_3,为千岁懒观五凤楼。,7155708.900758583,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_14,撩袍端带我把金殿上，,7164622.912024925,0.14285714285714285
sdxp-DangNianHan-SanJiZhang.xml_7,要退、要退、偏要退！,7174454.304068042,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,7184606.655244485,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,7192831.944423026,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,7205105.5679903645,0.0
lsxp-ZiGuDao-HuangHeLou.xml_0,自古道吉人有天相，,7229451.028715947,0.0
lsxp-YiShiWu-YuCangJian.xml_4,恨平王无道纲常乱，,7230765.9275874095,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,7240464.528738887,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,7247945.068849019,0.0
lsxp-ZouYingLong-DaYanSong.xml_12,罢、罢、罢，暂且忍却我的心头恨，,7253413.7776148915,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_1,父纳子（呃）妻礼难容，,7261685.508484179,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,7266647.189153297,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_6,又谁知此贼的疑心（呐）太（呀）大，,7267739.811971844,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,7277610.708013979,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_2,今日里斩宗保娘把儿怪，,7280789.408440163,0.14285714285714285
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,7284497.6889326265,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,7299866.1151780365,0.14285714285714285
lsxp-CiShiJian-HuaiHeYing-2.xml_5,右手再把栾布拉，,7323190.523045548,1.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,7326643.279236819,0.0
