深宫无处不飞花,24,深宫无（哇）处不飞花，
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,5066299.172615607,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,5067178.780263735,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,5082790.317280097,0.14285714285714285
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,5086526.097412137,0.14285714285714285
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,5087125.102231077,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,5089144.492159471,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,5094643.528839095,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_19,父母的冤仇化尘烟，,5096165.483201109,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,5100390.641689582,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,5100435.7723501,0.14285714285714285
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,5103835.439529572,0.0
sdxp-WoHeNi-SiLangTanMu.xml_10,怎奈我身在番难以过关。,5104806.116489449,0.0
lsxp-JiangShenEr-SanJiaDian.xml_15,叫一声解差把店役。,5106877.326234175,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_5,眼睁（呐）睁有何人去（呀）把纸烧。,5110320.459939304,0.0
sdxp-WoHeNi-SiLangTanMu.xml_2,贤公主又何必过于谦言。,5110419.1012225095,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,5120869.326208235,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,5125690.082722349,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,5133105.538326647,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,5142861.69793914,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,5149617.954747409,0.0
