儿行千里母担忧,0,儿行千里母担忧。
lsxp-WoZhuYe-ZhuiHanXin.xml_15,扬尘舞蹈见大王。,7241932.9453946585,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,7242777.9965405315,0.14285714285714285
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,7264047.619370037,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,7265659.928954911,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,7285523.435788021,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,7295606.483128866,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_3,谁知昭关有阻拦。,7323858.851746819,0.0
lseh-ZenNengGou-BaDaChui.xml_3,倒不如上公安观看古今。,7337970.652833163,0.0
sdxp-DangNianHan-SanJiZhang.xml_2,未央宫斩的是何人？,7340789.443336354,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_21,贼好比猛虎未（呀）曾长牙，,7356333.900525081,0.0
lsxp-ZheYiFeng-DingJunShan.xml_7,退后的项上吃一刀。,7363247.164180032,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,7365666.161345373,0.14285714285714285
lsxp-TingTaYan-ZhuoFangCao-2.xml_1,背转身自埋怨我自（呃）已做差。,7381207.780306449,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_1,背转身只埋怨我自（呃）己作差，,7381207.780306449,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,7394612.27880457,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_1,满朝中文武臣泪双流。,7402272.291636332,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,7402396.568073691,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,7410454.09679623,0.0
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,7427244.162328103,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_18,寻短（呃）哎见爹娘（呃）。,7438615.683669301,0.0
lsxp-DaHeYi-SiLangTanMu.xml_20,见一番汉帐中行。,7447630.856430261,0.14285714285714285
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,7457996.478033846,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,7463036.405971953,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_34,寻短（哪）哎见爹娘（兀）！,7476251.503447479,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,7484598.075661418,0.0
