谁知昭关有阻拦,0,谁知昭关有阻拦。
lsxp-DaHeYi-SiLangTanMu.xml_5,弟兄们分别十五春，,9006141.767959334,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_4,此一番领兵去镇守，,9019643.969820667,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,9060828.05620073,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,9131630.863693276,0.2857142857142857
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,9141376.168519303,0.14285714285714285
lseh-XinZhongYou-WenZhaoGuan.xml_13,想当初在朝为官宦，,9144587.497669872,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_29,想当初在朝为官宦，,9144587.497669872,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,9149154.00461094,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,9162054.638886038,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,9173717.113597965,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_0,为国家哪何曾半日闲空，,9214680.746002574,0.0
lseh-YangYanZhao-PengBei.xml_2,迈虎步我且把宝帐来进，,9231324.471424244,0.0
lsxp-ZheYiFeng-DingJunShan.xml_8,三军与（呀）爷归营号，,9240363.90280308,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,9249893.170105688,0.2857142857142857
sdxp-WoHeNi-SiLangTanMu.xml_12,无有令箭怎过关。,9270032.853223613,0.2857142857142857
lseh-TuZeiZuo-SouGuJiuGu.xml_2,眼见得忠良无救应，,9277371.698087398,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,9294542.228057068,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,9301658.198178794,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,9326160.755382432,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,9330637.29989238,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,9357468.686126871,0.14285714285714285
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,9369867.827091191,0.0
lsxp-JiangShenEr-SanJiaDian.xml_11,儿行千里母担忧。,9380629.608708745,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,9432785.31434691,0.42857142857142855
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,9449361.76293598,0.2857142857142857
lsxp-CiShiJian-HuaiHeYing-1.xml_4,左手拉住了李左车，,9471106.24383572,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,9474644.092246365,0.0
lsxp-ZiGuDao-HuangHeLou.xml_0,自古道吉人有天相，,9492003.230369352,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,9497144.34673075,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,9499511.250939107,0.0
lsxp-ZheYiFeng-DingJunShan.xml_0,这一封（呃）书信来得巧，,9501608.180484734,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,9505197.134380296,0.0
