我好比波浪中失舵的舟船,0,我好（哇）比波浪中失舵的舟船（哪）。
lseh-YiLunMing-ZhuoFangCao-2.xml_8,一家人倶丧在宝剑之下，,6551561.793063548,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,6552503.459647879,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,6555173.212960459,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,6575035.368738575,0.09090909090909091
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,6576363.020263836,0.09090909090909091
sdxp-SuLongWei-WuJiaPo.xml_17,买绫罗与绸缎、打首饰和簪环，,6587684.171007315,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,6587794.979953662,0.09090909090909091
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,6589772.975594553,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,6590636.153723668,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,6604217.367828623,0.0
lsxp-DaHeYi-SiLangTanMu.xml_27,听罢言来才知情，,6615062.094745632,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,6617986.72495964,0.18181818181818182
lsxp-ZouYingLong-DaYanSong.xml_1,在朝房来了我这保国忠。,6627954.240955505,0.09090909090909091
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,6629664.800441287,0.18181818181818182
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,6639891.671983637,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,6644417.35675434,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,6648745.530632292,0.09090909090909091
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,6654515.5352313155,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,6654735.778862009,0.09090909090909091
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,6665995.497971404,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,6673356.747082344,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,6678091.261409596,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_37,我不杀平王我的心怎甘（哪）。,6679880.8269783845,0.18181818181818182
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,6681765.042643134,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_16,心中有事难合眼，,6682238.730901439,0.09090909090909091
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,6709005.73682668,0.0
lsxp-DaHeYi-SiLangTanMu.xml_9,家住后山磁州郡，,6710035.780267409,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_21,我不杀平王我的心怎甘。,6711451.245493263,0.18181818181818182
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,6712166.886679148,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,6719027.720174922,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,6728346.9677954335,0.09090909090909091
lsxp-DaHeYi-SiLangTanMu.xml_11,我父令公官极品，,6729264.435075059,0.09090909090909091
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,6729477.580606296,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,6739044.343249178,0.09090909090909091
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,6750166.347338461,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,6760490.320799685,0.09090909090909091
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,6760490.320799685,0.09090909090909091
lsxp-CiShiJian-HuaiHeYing-2.xml_4,左手拉住了李左车，,6762420.755939167,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,6762814.94516949,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,6794349.434881019,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,6801541.442389552,0.09090909090909091
lseh-XinZhongYou-WenZhaoGuan.xml_0,心中有事难合眼，,6806806.927746674,0.09090909090909091
lsxp-JiangShenEr-SanJiaDian.xml_1,尊一声过往的宾朋听从头：,6809232.775088395,0.09090909090909091
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,6813912.290976302,0.0
lseh-LaoZhangBu-WuPenJi.xml_5,抓一（呀）把沙土扬灰尘。,6818779.041596856,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,6825083.822718976,0.09090909090909091
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,6826394.370016719,0.09090909090909091
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,6833277.865665501,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_11,鸡鸣犬吠五更（呃）天，,6839550.224640115,0.0
lsxp-DaHeYi-SiLangTanMu.xml_20,见一番汉帐中行。,6842950.415354321,0.09090909090909091
sdxp-WoHeNi-SiLangTanMu.xml_10,怎奈我身在番难以过关。,6856215.218541999,0.09090909090909091
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,6862622.602715119,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_27,鸡鸣犬吠五更（哪）天，,6873458.815688718,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_14,思来想去我的肝肠断，,6879982.16422551,0.18181818181818182
lseh-TanXiongDi-SangYuanJiZi.xml_0,叹兄兀弟遭不幸一旦丧命，,6887719.411227806,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,6888948.872337635,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,6899660.855738241,0.0
