舍不得老娘白了头,0,舍不得老娘（呃）白了头。
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,7751722.481105313,0.125
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,7764988.924499425,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_3,哭啼啼坐宝帐所为何来。,7780656.164909532,0.0
lsxp-WoBenShi-KongChengJi-2.xml_8,闲无（呃）事在敌楼（呃）我亮一亮琴（呢）音，,7782493.401849326,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,7789488.859933825,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,7794850.56653262,0.125
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,7795801.785001749,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,7801213.50047616,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,7803312.182292263,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_4,左手拉住了李左车，,7811249.465726572,0.125
lseh-YiLunMing-WenZhaoGuan-2.xml_13,我好（呃）比波浪中失舵的舟船（喏）。,7827104.9085464515,0.0
lsxp-DaHeYi-SiLangTanMu.xml_9,家住后山磁州郡，,7829152.723337127,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,7836006.440173711,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_4,此一番领（呃）兵去镇守，,7836552.228543202,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,7838063.41579977,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_2,在长安是你夸大话，,7840273.081856966,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_5,靠山近水把管收。,7854032.070278697,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,7878753.508940682,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_2,既是为我前来到，,7894028.418087446,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,7909698.484641174,0.125
lsxp-WoZhuYe-ZhuiHanXin.xml_6,也是我主洪福广，,7964959.756607358,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,7965814.018984432,0.0
lseh-XiRiLi-BaoLianDeng.xml_4,那叔齐分长幼不能担任，,7969324.984608759,0.125
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,7972320.7213658905,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_13,我好（哇）比波浪中失舵的舟船（哪）。,7983933.071789579,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,7997893.639035146,0.0
lsxp-WeiCengKai-QiYuanBao.xml_9,望求太爷与我作主张（啊）。,8003271.834831952,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_9,满腹的含冤我向谁言（哪）！,8004175.692195344,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_9,满腹的含冤我向谁言（喏）。,8004175.692195344,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,8011298.039398593,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,8019008.629014562,0.0
lsxp-ZouYingLong-DaYanSong.xml_8,上面坐的是有道君，,8041115.104153547,0.0
lsxp-ZheYiFeng-DingJunShan.xml_3,大小儿郎听根苗，,8042477.208271601,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,8049909.828620838,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_35,父母的冤仇化尘烟，,8067253.571301172,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,8072740.592538815,0.125
lseh-NiangZiBu-SouGuJiuGu.xml_7,老天爷不绝我的后代根。,8086816.976971874,0.25
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,8087168.89889861,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_8,一家人倶丧在宝剑之下，,8090774.828184508,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,8094595.895250854,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,8106532.343931473,0.0
