眼见得红日坠落在西山后,1,眼见得红日坠落在西山后，
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,9133141.996318059,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,9172698.986641241,0.09090909090909091
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,9181239.627053812,0.09090909090909091
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,9186009.763938796,0.0
lsxp-JianMaSu-ZhanMaSu.xml_3,失去了街亭差不差。,9207866.203158403,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,9214502.712890323,0.09090909090909091
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,9224317.490142232,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,9237482.72924739,0.0
lsxp-WoBenShi-KongChengJi-2.xml_8,闲无（呃）事在敌楼（呃）我亮一亮琴（呢）音，,9258309.164501514,0.09090909090909091
sdxp-WoHeNi-SiLangTanMu.xml_18,将身跪在地平川。,9284226.147289598,0.09090909090909091
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,9287140.67407866,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,9291464.000545477,0.09090909090909091
lseh-YiLunMing-ZhuoFangCao-2.xml_3,悔不该随他人到吕家。,9314943.121764658,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,9421241.802597221,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,9442888.83854627,0.0
sdxp-SuLongWei-WuJiaPo.xml_14,将银放在地平川。,9444227.64470182,0.09090909090909091
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,9450254.326530013,0.0
lseh-ZiNaRi-HongYangDong.xml_4,二次（喏）里命孟良番营来进，,9459524.409749297,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_4,幸遇那东皋公行方便，,9463500.820258187,0.0
sdxp-SuLongWei-WuJiaPo.xml_11,好一个贞节王宝钏，,9493724.691284655,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,9530420.335473659,0.09090909090909091
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,9554439.499899797,0.18181818181818182
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,9566778.124380423,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,9601383.760883767,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,9604180.48599194,0.09090909090909091
lseh-XuMaoGong-QinQiongFaPei.xml_1,文韬武略智谋高。,9605180.113581887,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_5,靠山近水把管收。,9609162.52159317,0.09090909090909091
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,9647490.990564365,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_4,幸遇那东皋公行方便，,9659995.648861006,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,9675322.5943719,0.09090909090909091
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,9689551.485992374,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_2,既是为我前来到，,9734995.546712236,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_12,越思越想好伤惨，,9758816.75554597,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,9764944.103733815,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_6,三人同把那鬼门关上踏，,9793519.121708432,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,9818055.283184102,0.09090909090909091
lseh-XinZhongYou-WenZhaoGuan.xml_1,翻来复去睡不安。,9824911.308429198,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,9831798.295302708,0.0
lsxp-YiShiWu-YuCangJian.xml_8,实指（喏）望到吴国借兵（呐）转，,9842884.725116177,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_3,大事还要问程婴。,9852852.341481615,0.0
lsxp-JiangShenEr-SanJiaDian.xml_11,儿行千里母担忧。,9855671.002118835,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,9867727.926368417,0.0
lseh-XiRiLi-BaoLianDeng.xml_6,弟让兄来兄不能应（呐）允，,9889429.961332902,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_15,扬尘舞蹈见大王。,9896949.69731949,0.09090909090909091
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,9908993.34806073,0.18181818181818182
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,9931389.942905257,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_7,拔出剑将他的满门杀，,9934443.717772217,0.0
