俺伍员好一似丧家犬,0,俺伍员好一似丧家犬，
lsxp-ZheYiFeng-DingJunShan.xml_1,天助黄忠成功劳。,8627500.115368841,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,8630964.550993469,0.1111111111111111
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,8632486.32855111,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,8641305.01598357,0.0
sdxp-DangNianHan-SanJiZhang.xml_3,小奴才真个不孝顺，,8645970.325584576,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,8648165.249976762,0.1111111111111111
lseh-YiLunMing-ZhuoFangCao-1.xml_5,杀猪（喏）沽（哇）酒款待于他，,8653634.781073228,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,8656330.449619906,0.0
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,8681124.12204071,0.0
lseh-ZiNaRi-HongYangDong.xml_6,老军报他二人在洪洋（呃）洞丧（呃）命，,8687015.39046555,0.1111111111111111
lsxp-TingTaYan-ZhuoFangCao-1.xml_0,听他言听得我心（呐）惊胆怕，,8713452.137229055,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_0,听他言吓得我心（呐）惊胆怕，,8713452.137229055,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_6,一连几天我的眉不（呃）展，,8733708.8515384,0.1111111111111111
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,8745429.836626407,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_8,一路上秋毫无犯军威壮，,8754027.274547676,0.1111111111111111
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,8765029.057224266,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,8770509.391663747,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,8781878.167961055,0.1111111111111111
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,8788287.421520809,0.1111111111111111
lsxp-WoBenShi-KongChengJi-2.xml_6,周文王访姜尚周室大振，,8799507.667806836,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_6,又谁知此贼的疑心（呐）太（呀）大，,8828568.86411795,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_3,叫人难解巧机关。,8848429.128670705,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_3,悔不该随他人到吕家。,8848510.332339823,0.1111111111111111
lseh-YiLunMing-ZhuoFangCao-1.xml_13,越思越想把事来作差。,8881243.951202516,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,8902040.07249461,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,8936273.716529587,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,8947129.592265258,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,8953896.447490904,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,8961259.66332446,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_13,我好（呃）比波浪中失舵的舟船（喏）。,8980331.544637414,0.1111111111111111
lseh-NiangZiBu-SouGuJiuGu.xml_8,你今舍了亲生子，,9004548.1993494,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_6,一连几天我的眉不（哇）展，,9010287.308289675,0.1111111111111111
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,9032770.59393567,0.2222222222222222
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,9057833.700168269,0.1111111111111111
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,9058642.914578656,0.2222222222222222
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,9072778.683663182,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,9091899.810649386,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,9109347.896634476,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,9130853.477263391,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,9145839.474680645,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,9164134.540085098,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_0,张公道三十五六（哇）子有靠，,9169129.525161851,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_14,朝臣待漏五更寒。,9189696.27475778,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,9199590.94771889,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,9212732.954513473,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_12,今日里萧何荐良将，,9217850.879273303,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,9230131.313823706,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,9240881.532259842,0.0
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,9257183.530508528,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,9262137.252761887,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_8,哭一声爹娘不能相见，,9293856.898029992,0.1111111111111111
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,9297323.600966765,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,9325508.728769831,0.0
lseh-LaoZhangBu-WuPenJi.xml_3,我本屈死一鬼魂。,9332886.867878467,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,9335862.052268805,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,9351584.850574963,0.0
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,9377956.488521907,0.0
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,9380005.75922295,0.0
lseh-YangYanZhao-PengBei.xml_3,又只见老爹爹瞌睡沉沉。,9390768.13449232,0.0
lsxp-ZouYingLong-DaYanSong.xml_12,罢、罢、罢，暂且忍却我的心头恨，,9398221.516807828,0.0
lseh-XiRiLi-BaoLianDeng.xml_3,传口诏命次子即位为君，,9403695.432453958,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,9414534.517955927,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,9418478.30328791,0.0
lseh-XiRiLi-BaoLianDeng.xml_10,首阳山前冻饿死（喏）。,9419145.956149934,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_14,思来想去我的肝肠断，,9425940.913048454,0.0
lseh-WeiKaiYan-RangXuZhou.xml_1,天卸重任我就要（哇）你担承。,9451965.986232815,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_9,年迈的老丈命（呐）染黄沙。,9473163.960202582,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,9480832.59044968,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_1,诬杀赵家一满门。,9497499.3086734,0.2222222222222222
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,9504532.239779916,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,9513416.202762885,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,9515460.44825359,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,9529262.310800457,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,9540976.245019978,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_4,我与那公孙杵臼把计定，,9542661.245673586,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,9554308.502237445,0.0
sdxp-SuLongWei-WuJiaPo.xml_14,将银放在地平川。,9559836.048375892,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,9561721.854193008,0.1111111111111111
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,9562677.569800327,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_20,贼好比蛟龙未生鳞甲，,9572692.600379117,0.1111111111111111
lseh-TuZeiZuo-SouGuJiuGu.xml_2,眼见得忠良无救应，,9619992.4792083,0.0
lseh-YangYanZhao-PengBei.xml_1,在中途得一信甚是不明。,9629995.15860952,0.1111111111111111
lseh-ZiNaRi-HongYangDong.xml_2,我前番命孟良骸骨搬（呐）请，,9631912.245105488,0.0
lseh-JinZhongXiang-ShangTianTai.xml_3,武仗着姚皇兄保定乾坤。,9645865.712446319,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_14,思来想去我的肝肠断，,9647608.873108137,0.0
sdxp-DangNianHan-SanJiZhang.xml_5,我的儿说话言不逊，,9652866.544109998,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,9675340.098753868,0.1111111111111111
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,9683085.487300118,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,9710354.37816231,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,9727575.605841713,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,9732696.957630886,0.1111111111111111
lseh-XinZhongYou-WenZhaoGuan.xml_15,到如今夜宿在荒村院，,9741162.432071988,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_31,到如今夜宿在荒村院，,9741162.432071988,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,9748349.195829358,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_5,眼睁（呐）睁有何人去（呀）把纸烧。,9778236.828232788,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,9789641.483086549,0.0
lsxp-JiangShenEr-SanJiaDian.xml_4,杨林与我来争斗，,9840900.495278485,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,9853949.265797935,0.3333333333333333
lseh-XiRiLi-BaoLianDeng.xml_4,那叔齐分长幼不能担任，,9859153.504264183,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,9881122.519589595,0.0
lseh-ZenNengGou-BaDaChui.xml_1,前后话对文龙细说衷情。,9890560.079408035,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,9918795.610062746,0.1111111111111111
lsxp-YiShiWu-YuCangJian.xml_0,一事无成两鬓斑，,9926530.690819772,0.1111111111111111
lsxp-ZheYiFeng-DingJunShan.xml_2,站立在营门三军叫，,9946918.798264096,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,9959622.15070245,0.0
lsxp-WoBenShi-KongChengJi-1.xml_6,周文王访姜尚周室大振，,10012264.163917039,0.0
lseh-XiRiLi-BaoLianDeng.xml_7,兄（呃）推弟来两不能够担承。,10013936.86574727,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,10033619.335794512,0.1111111111111111
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,10049478.158839421,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_2,我先前只望他宽宏量（呃）大，,10067265.873740492,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_2,我先前只望他宽宏量（呃）大，,10067265.873740492,0.0
sdxp-DangNianHan-SanJiZhang.xml_1,登台拜帅是韩信，,10071284.75665935,0.0
