一连几天我的眉不展,0,一连几天我的眉不（哇）展，
lseh-TuZeiZuo-SouGuJiuGu.xml_2,眼见得忠良无救应，,10064952.922820775,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,10090987.0225144,0.2222222222222222
lseh-JinZhongXiang-ShangTianTai.xml_5,又听得殿角下大放悲声。,10094001.220111854,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,10120599.946313875,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_9,我也曾约法定过三章。,10121867.58484807,0.1111111111111111
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,10132655.941544121,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,10154043.899031477,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,10159994.166984448,0.0
sdxp-SuLongWei-WuJiaPo.xml_21,为军起下不良的意呀，,10192208.464656265,0.2222222222222222
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,10203094.361761,0.0
lsxp-JiangShenEr-SanJiaDian.xml_6,舍不得太爷的恩情厚，,10204706.729601013,0.2222222222222222
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,10214700.242766572,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,10233969.745541997,0.0
lsxp-JiangShenEr-SanJiaDian.xml_12,儿想娘亲难叩首，,10245011.526065549,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,10245506.406294009,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,10246546.985625667,0.0
lsxp-JianMaSu-ZhanMaSu.xml_1,不由老夫咬钢牙，,10265410.262517452,0.1111111111111111
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,10284736.688708073,0.1111111111111111
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,10293314.754207162,0.1111111111111111
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,10323743.326604286,0.1111111111111111
lsxp-HenPingWang-WenZhaoGuan.xml_0,恨平王无道乱楚宫（兀），,10325039.400337715,0.0
lsxp-WeiCengKai-QiYuanBao.xml_5,贩卖绸缎转还乡。,10340584.41794987,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,10344111.777004013,0.0
lsxp-ZouYingLong-DaYanSong.xml_6,我劝顽童你休流泪，免悲声，邹老爷就是尔的报仇人。,10354978.922263449,0.2222222222222222
lsxp-JiangShenEr-SanJiaDian.xml_4,杨林与我来争斗，,10359447.583752135,0.1111111111111111
lsxp-ZiGuDao-HuangHeLou.xml_0,自古道吉人有天相，,10382562.90590301,0.1111111111111111
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,10398546.788986191,0.1111111111111111
sdxp-SuLongWei-WuJiaPo.xml_19,是烈女就该在家院，,10401606.966935895,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,10432045.144750297,0.1111111111111111
lsxp-JiangShenEr-SanJiaDian.xml_0,将身儿来至在大街口，,10453014.256529545,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_10,我好（呃）比哀哀长空雁，,10462792.647608895,0.1111111111111111
lseh-ZiNaRi-HongYangDong.xml_5,又谁知焦克明他私（呀）自后跟（呐），,10464433.46038845,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,10475805.03728732,0.2222222222222222
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,10478036.058277411,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,10494210.052039219,0.1111111111111111
lsxp-WoBenShi-KongChengJi-2.xml_8,闲无（呃）事在敌楼（呃）我亮一亮琴（呢）音，,10518453.679570377,0.2222222222222222
sdxp-SuLongWei-WuJiaPo.xml_7,大嫂说话礼不端，,10518652.803962542,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,10532065.730818959,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,10543008.96351236,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,10543675.598864853,0.2222222222222222
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,10558006.43849388,0.1111111111111111
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,10575073.682490233,0.1111111111111111
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,10672457.955269206,0.2222222222222222
lsxp-DaHeYi-SiLangTanMu.xml_1,大喝一声（哪）如雷震，,10675396.287646154,0.1111111111111111
lsxp-WoZhuYe-ZhuiHanXin.xml_6,也是我主洪福广，,10683510.52159501,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,10686262.79737327,0.1111111111111111
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,10697674.182434808,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_0,此时间不可闹笑话，,10713738.627219642,0.1111111111111111
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,10730571.235683087,0.1111111111111111
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,10765606.564015592,0.3333333333333333
