尊一声过往宾朋听从头,0,尊一声过往的宾朋听从头：
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,5188602.1838911995,0.0
lsxp-ZheYiFeng-DingJunShan.xml_8,三军与（呀）爷归营号，,5199377.697298104,0.0
lseh-JinZhongXiang-ShangTianTai.xml_2,文凭着邓先生策划有准，,5219791.433557434,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,5219865.504366255,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_3,耳听笙歌闹喧哗。,5226598.727183907,0.1
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,5231226.935730898,0.2
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,5237326.168785888,0.0
lsxp-ZouYingLong-DaYanSong.xml_0,忽听得万岁宣应龙，,5237875.307203481,0.1
lsxp-DaHeYi-SiLangTanMu.xml_25,家住哪州并哪郡？,5238940.5163422115,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,5248327.776039724,0.0
lsxp-JiangShenEr-SanJiaDian.xml_5,因此上发配到登州。,5248910.748733065,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,5254423.134283686,0.0
lsxp-ZiGuDao-HuangHeLou.xml_1,主公不必加愁肠。,5266899.877783461,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,5271535.43627474,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,5293540.801715637,0.1
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,5295361.434873107,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_4,此一番领兵去镇守，,5299511.733699499,0.1
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,5315269.373101765,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_35,父母的冤仇化尘烟，,5327048.254929427,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_28,越思越想好伤惨，,5329719.591830587,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,5329951.461483035,0.0
