因此上臣的病重加十分、千岁爷呀！,0,因此上臣的病重（呃）加十分、千岁爷呀！
lsxp-CiShiJian-HuaiHeYing-2.xml_7,生死二字（喏）且由他！,9633909.746620672,0.0625
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,9638849.080820665,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,9639853.944520641,0.0
lseh-YangYanZhao-PengBei.xml_0,杨延昭奉父命巡查大营，,9662769.564617625,0.0
sdxp-WoHeNi-SiLangTanMu.xml_1,我和你好夫妻恩德不浅，,9664421.257743336,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_2,悔不该心猿并意马，,9668818.269244466,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,9670973.218777861,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,9684082.802154563,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_10,但愿得令公令婆别无异见，,9712982.595513973,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,9721885.43214976,0.0
lseh-ZiNaRi-HongYangDong.xml_7,去了我左右膀难以飞行。,9742151.026840016,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_1,拔剑斩蛇天下扬。,9750350.857621092,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,9750992.401022602,0.0625
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,9753291.600366358,0.0625
lsxp-WeiCengKai-QiYuanBao.xml_4,奉母命京城往，,9760026.18516816,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_17,我本当拔宝剑自寻短见，,9761896.133194283,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,9769557.925001815,0.0
lsxp-WeiCengKai-QiYuanBao.xml_1,尊一声太爷听端详。,9771581.38314749,0.0625
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,9775338.538456434,0.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,9782362.760119872,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,9785954.207280908,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,9787247.857882494,0.0
lsxp-ZheYiFeng-DingJunShan.xml_5,三通鼓刀出鞘四通（呃）鼓把兵交。,9787635.258847393,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,9813261.055573272,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,9826221.875288827,0.125
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,9833630.818879478,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,9837311.499910235,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,9841794.933605252,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_0,一轮明月照窗下，,9848921.039867025,0.0
lsxp-WoBenShi-KongChengJi-1.xml_5,东西战南北剿博古通呃今。,9849040.30622074,0.0
lseh-TanXiongDi-SangYuanJiZi.xml_2,眼望着孤坟台珠泪难忍，,9853390.450378783,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,9865576.271572908,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_2,背地里只把东皋公怨，,9880054.838081224,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_8,一路上秋毫无犯军威壮，,9885609.546176404,0.0625
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,9927800.647374902,0.0625
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,9931131.190357639,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,9941256.799270524,0.0625
