先帝爷下南阳御驾三请,0,先帝（呀）爷下南阳（呃）御驾三（呃）请，
lsxp-DaHeYi-SiLangTanMu.xml_25,家住哪州并哪郡？,8864814.704173839,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_11,自有那神灵儿天地鉴察。,8871190.402763458,0.0
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,8876520.151942277,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_24,执宝剑将贼的（呀）头割下，,8877366.528564703,0.1
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,8879534.485643012,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,8882279.131718982,0.0
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,8886170.795386614,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,8935107.795260476,0.1
lseh-YangYanZhao-PengBei.xml_1,在中途得一信甚是不明。,8938169.511498477,0.0
sdxp-DangNianHan-SanJiZhang.xml_4,仙女嫁的又是何人？,8950382.915874265,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,8963264.052670639,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,8969596.842380198,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,8972972.470363317,0.1
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,8977607.149591776,0.2
daxp-LaoDieDie-SanJiZhang-1.xml_1,我立志不嫁那状元才郎。,8988233.513468234,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_8,一路上秋毫无犯军威壮，,8992197.507736744,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,9003162.548672447,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,9003162.548672447,0.0
lsxp-WoBenShi-KongChengJi-1.xml_6,周文王访姜尚周室大振，,9008628.8875836,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_1,胡言乱语怎瞒（呐）咱！,9012318.027661843,0.0
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,9019586.875596363,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,9036954.93985631,0.0
