杨林与我来争斗,0,杨林与我来争斗，
lsxp-JiangShenEr-SanJiaDian.xml_8,实难舍街坊四邻与我的好朋友，,15289531.232137002,0.2857142857142857
lsxp-WoZhuYe-ZhuiHanXin.xml_5,后进咸阳扶保在朝纲。,15296835.418114858,0.0
lsxp-DaHeYi-SiLangTanMu.xml_12,我母佘氏老太君。,15299787.96972015,0.14285714285714285
lsxp-WeiCengKai-QiYuanBao.xml_8,赵大夫妻图财害命害我一命亡，,15347989.488645293,0.14285714285714285
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,15438628.19997901,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_12,今日里萧何荐良将，,15441612.063705403,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_11,我好比龙游在浅沙滩。,15447527.605079131,0.14285714285714285
lseh-YiLunMing-ZhuoFangCao-2.xml_5,杀猪沽酒款待与他。,15461610.197243374,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,15464537.252234923,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_23,我岂肯放虎归山又（哇）把人抓。,15467172.017495072,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,15477622.37763729,0.14285714285714285
lseh-NiangZiBu-SouGuJiuGu.xml_7,老天爷不绝我的后代根。,15493527.669683965,0.14285714285714285
