身不爽不由人瞌睡朦胧,0,身不爽不由人瞌睡朦胧（呃）。
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,9548527.324639779,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,9612405.724171963,0.2
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,9614361.269093737,0.2
sdxp-DangNianHan-SanJiZhang.xml_2,未央宫斩的是何人？,9616878.070548778,0.1
lsxp-ShenGongWu-LongFengChengXiang.xml_0,深宫无（哇）处不飞花，,9643638.284584045,0.2
lsxp-DaHeYi-SiLangTanMu.xml_4,上面（哪）坐的同胞人。,9711630.86980688,0.1
lsxp-DaHeYi-SiLangTanMu.xml_6,怎知今日回宋营。,9738584.831678778,0.0
sdxp-WoHeNi-SiLangTanMu.xml_15,宋营（哪）虽然路途远，,9744975.237150539,0.0
sdxp-SuLongWei-WuJiaPo.xml_9,衙里衙外我打点，,9763332.121800354,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,9790479.861624015,0.0
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,9791650.276264476,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,9806746.587619973,0.0
lseh-LaoZhangBu-WuPenJi.xml_5,抓一（呀）把沙土扬灰尘。,9806776.09778353,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,9812987.718537252,0.0
daxp-XiShiNv-XiShi.xml_3,每日里浣纱去又傍清溪。,9825611.478734987,0.0
lsxp-ZouYingLong-DaYanSong.xml_1,在朝房来了我这保国忠。,9843860.620237885,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,9875891.761644198,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,9898981.19953689,0.4
lsxp-LiangGuoJiao-ShiJieTing-2.xml_1,各为其（呀）主统貔貅。,9899909.103084398,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_18,寻短（呃）哎见爹娘（呃）。,9931449.27662082,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_6,三人同把那鬼门关上踏，,9937250.433896938,0.1
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,9942545.817244966,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,9952500.96623006,0.0
sdxp-SuLongWei-WuJiaPo.xml_13,腰中取出银一锭，,9958206.052941242,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,9974584.202091668,0.1
lseh-ZiNaRi-HongYangDong.xml_9,因此上臣的病重（呃）加十分、千岁爷呀！,10036257.95575827,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,10061442.757106617,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_25,不能（哪）哎见爹娘（兀）！,10061657.934045788,0.2
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,10106659.798951223,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,10108501.946239125,0.2
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,10123204.964650892,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,10125056.860022262,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_16,心中有事难合眼，,10142796.640030649,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,10149466.5001914,0.3
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,10156716.49753087,0.3
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,10164286.253001027,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,10185420.483102955,0.1
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,10196920.328363517,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,10272612.862876479,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,10314080.613034755,0.3
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,10314360.848608686,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,10326912.840445306,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_1,请先生到江边即刻登舟。,10333808.697857928,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,10352246.750326542,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,10362801.347482637,0.1
sdxp-WoHeNi-SiLangTanMu.xml_12,无有令箭怎过关。,10372816.786425555,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,10373737.982372869,0.2
lseh-YiLunMing-ZhuoFangCao-2.xml_1,陈宫心中乱如麻。,10396043.342041384,0.0
lsxp-ZouYingLong-DaYanSong.xml_13,在品级台（呀）前臣见君。,10397004.3557306,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,10402610.573240148,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,10424722.508343536,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,10424722.508343536,0.2
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,10427094.847913643,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,10427094.847913643,0.2
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,10447784.152541824,0.0
lsxp-DaHeYi-SiLangTanMu.xml_7,将身站在了阶前等，,10450981.184347473,0.1
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,10460358.942149948,0.1
lsxp-DaHeYi-SiLangTanMu.xml_14,失落番邦被贼擒。,10472503.877276946,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,10497171.365198825,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,10497171.365198825,0.3
