实难舍街坊四邻与我的好朋友,0,实难舍街坊四邻与我的好朋友，
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,7217599.401201054,0.0
sdxp-WoHeNi-SiLangTanMu.xml_3,杨廷辉有一日愁眉得展，,7219503.351581726,0.0
lsxp-ZouYingLong-DaYanSong.xml_8,上面坐的是有道君，,7225425.491732549,0.07692307692307693
lseh-YiLunMing-WenZhaoGuan-1.xml_11,我好比龙游在浅沙滩。,7226839.762446571,0.15384615384615385
sdxp-DangNianHan-SanJiZhang.xml_6,句句话儿伤父心。,7230470.962410522,0.0
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,7240620.107579588,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,7255835.755080985,0.07692307692307693
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,7276527.798802118,0.15384615384615385
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,7278414.0902704485,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,7279959.989447191,0.0
lseh-JinZhongXiang-ShangTianTai.xml_5,又听得殿角下大放悲声。,7287758.161918902,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,7288314.881714672,0.0
lseh-ZenNengGou-BaDaChui.xml_1,前后话对文龙细说衷情。,7289814.230154613,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,7291179.260112348,0.0
lsxp-ZiGuDao-HuangHeLou.xml_4,今日主公把宴上，,7314310.288523783,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,7325176.280475644,0.07692307692307693
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,7328246.040011178,0.0
lsxp-YiShiWu-YuCangJian.xml_2,日月轮流催晓（哇）箭，,7337208.390410179,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_5,靠山近水把管收。,7355432.594569151,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,7359230.932936046,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,7363787.238846072,0.15384615384615385
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,7370314.923348432,0.0
lsxp-ZiGuDao-HuangHeLou.xml_0,自古道吉人有天相，,7376461.026180418,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,7379083.29230843,0.0
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,7409111.61113727,0.07692307692307693
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,7412219.389510246,0.15384615384615385
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,7433487.815322341,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_1,文韬武略智谋高。,7442992.598790424,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,7450782.862524114,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,7462235.970839021,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_21,贼好比猛虎未（呀）曾长牙，,7464598.20923711,0.07692307692307693
lsxp-WoZhuYe-ZhuiHanXin.xml_10,项羽不遵怀王约，,7506008.4852180695,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_14,思来想去我的肝肠断，,7512568.060821088,0.15384615384615385
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,7545899.00009095,0.0
