二不是歹人把城偷,0,二不是歹人（呐）把城偷。
lseh-YiLunMing-ZhuoFangCao-1.xml_23,我岂肯放虎归山又（哇）把人抓。,5533597.838130952,0.25
lsxp-DaHeYi-SiLangTanMu.xml_23,本帅开言把他问，,5537921.708043552,0.125
lsxp-ZhangGongDao-ZhuangYuanPu.xml_0,张公道三十五六（哇）子有靠，,5541524.2089750515,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,5545008.066396818,0.0
lsxp-JiangShenEr-SanJiaDian.xml_12,儿想娘亲难叩首，,5545286.211964001,0.0
lseh-YangYanZhao-PengBei.xml_1,在中途得一信甚是不明。,5552959.175803946,0.25
lsxp-ZouYingLong-DaYanSong.xml_3,偶遇见小小的顽童放悲声，,5563033.052362133,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,5568804.515639653,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,5569263.473617018,0.0
lsxp-ZouYingLong-DaYanSong.xml_12,罢、罢、罢，暂且忍却我的心头恨，,5571532.960648227,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,5582378.464648562,0.0
sdxp-SuLongWei-WuJiaPo.xml_21,为军起下不良的意呀，,5584841.843302684,0.125
lsxp-QingGongYan-FaDongWu.xml_3,又谁知中途两离分。,5588426.796029918,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,5597109.067002443,0.0
sdxp-WoHeNi-SiLangTanMu.xml_7,萧天佐摆天门两国交战，,5597224.988530743,0.0
lseh-YangYanZhao-PengBei.xml_5,又恐怕惊动了年迈之人。,5601137.657579428,0.125
sdxp-WoHeNi-SiLangTanMu.xml_1,我和你好夫妻恩德不浅，,5622768.585622699,0.125
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,5627803.9315611115,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_12,听谯楼打罢了二（喏）更鼓下，,5630647.234719243,0.125
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,5640806.695639372,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_4,左手拉住了李左车，,5655068.701832181,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,5662018.413989587,0.0
lseh-XiRiLi-BaoLianDeng.xml_12,为父的怎比得孤竹君，,5665447.709956674,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_13,我好（哇）比波浪中失舵的舟船（哪）。,5667161.326188652,0.0
lsxp-WeiCengKai-QiYuanBao.xml_3,姓刘名安字世昌。,5672799.895459952,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,5693487.406567912,0.125
sdxp-SuLongWei-WuJiaPo.xml_22,一马双跨到西凉。,5700713.7272733115,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_8,一家人倶丧在宝剑之（喏）下，,5733735.537373058,0.125
lseh-NiangZiBu-SouGuJiuGu.xml_12,无奈何我只得双（呃）膝跪，,5744640.854164695,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,5778987.739845812,0.125
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,5809689.509179057,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,5814951.799430633,0.125
lsxp-WeiCengKai-QiYuanBao.xml_6,行至在中途把雨降，,5824795.638942067,0.125
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,5828304.4692027215,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,5866214.444047665,0.125
