为此事终日里忧成疾病,0,为此事终（啊）日里忧成疾病，
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,8901347.103396514,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,8901941.635582833,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_8,哭一声爹娘不能相见，,8903589.194823826,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,8914659.368137212,0.0
lseh-YangYanZhao-PengBei.xml_1,在中途得一信甚是不明。,8915435.218020642,0.0
sdxp-WoHeNi-SiLangTanMu.xml_20,黄沙盖脸尸骨不全。,8917318.429473622,0.0
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,8919044.953701457,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,8930806.553504715,0.1
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,8941180.876658054,0.0
lsxp-YiShiWu-YuCangJian.xml_9,行至在昭关有阻拦。,8945507.980005048,0.0
sdxp-WoHeNi-SiLangTanMu.xml_18,将身跪在地平川。,8957218.631737001,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,8971712.453136792,0.0
sdxp-SuLongWei-WuJiaPo.xml_22,一马双跨到西凉。,8987328.302305775,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,8991913.748475116,0.1
lseh-XuMaoGong-QinQiongFaPei.xml_1,文韬武略智谋高。,8997708.186900977,0.0
lsxp-ZouYingLong-DaYanSong.xml_3,偶遇见小小的顽童放悲声，,9001422.989874108,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,9013436.222147606,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,9014233.705747664,0.0
lsxp-DaHeYi-SiLangTanMu.xml_19,本帅帐中用目睁，,9031445.002966635,0.0
sdxp-SuLongWei-WuJiaPo.xml_14,将银放在地平川。,9032949.963747919,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_7,拔出剑将他的满门杀，,9042571.427401267,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_0,徐茂公阴阳多奥妙，,9042905.183062535,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_6,又谁知此贼的疑心（呐）太（呀）大，,9055669.23564329,0.1
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,9059219.646804122,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_14,悔不该把家属一（呀）旦撇下，,9060842.335329693,0.0
lseh-JinZhongXiang-ShangTianTai.xml_5,又听得殿角下大放悲声。,9070387.98657606,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,9113339.802688578,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,9114467.621156031,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,9115384.916573843,0.0
lsxp-JiangShenEr-SanJiaDian.xml_15,叫一声解差把店役。,9120013.344955307,0.0
lsxp-JianMaSu-ZhanMaSu.xml_2,大胆不听我的话，,9125595.978937177,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,9180182.828204533,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,9188876.576851372,0.0
lsxp-DaHeYi-SiLangTanMu.xml_12,我母佘氏老太君。,9205375.381622251,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,9216828.256915707,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,9236380.911565911,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_9,满腹的含冤我向谁言（哪）！,9288250.304193158,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_9,满腹的含冤我向谁言（喏）。,9288250.304193158,0.0
lsxp-QingGongYan-FaDongWu.xml_3,又谁知中途两离分。,9311525.429016903,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,9312968.652100613,0.1
lsxp-HenPingWang-WenZhaoGuan.xml_3,满门的家着血染红。,9315017.943069326,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,9317481.316246023,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_2,眼见得忠良无救应，,9326882.623274341,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_1,老娘亲为什么不讲情来？,9333962.316469818,0.1
lsxp-WoZhuYe-ZhuiHanXin.xml_12,今日里萧何荐良将，,9350770.964464651,0.2
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,9353629.4368626,0.1
lsxp-JiangShenEr-SanJiaDian.xml_11,儿行千里母担忧。,9361631.244192278,0.2
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,9362964.519563284,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,9370138.73476107,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,9372726.762349123,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,9375797.957669673,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_1,请先生到江边即刻登舟。,9382966.82222464,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_12,听谯楼打罢了二（喏）更鼓下，,9392683.422659695,0.0
lsxp-ZouYingLong-DaYanSong.xml_13,在品级台（呀）前臣见君。,9395730.935687464,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_1,各为其（呀）主统貔貅。,9489228.015633732,0.1
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,9491637.795873191,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_3,悔不该随他人到吕家，,9550430.659447944,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_2,我先前只望他宽宏量（呃）大，,9556311.338753615,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_2,我先前只望他宽宏量（呃）大，,9556311.338753615,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,9558432.022243993,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,9559052.594791748,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,9591359.102811683,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_3,耳听笙歌闹喧哗。,9594885.99980148,0.0
sdxp-SuLongWei-WuJiaPo.xml_11,好一个贞节王宝钏，,9603143.534319818,0.0
lsxp-ZouYingLong-DaYanSong.xml_12,罢、罢、罢，暂且忍却我的心头恨，,9605844.198098894,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,9612380.751937037,0.1
