周文王访姜尚周室大振,0,周文王访姜尚周室大振，
lsxp-WoZhuYe-ZhuiHanXin.xml_15,扬尘舞蹈见大王。,6905371.273128419,0.2
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,6924609.304867378,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_12,无奈何我只得双（呃）膝跪，,6927340.326081826,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_12,我好（哇）比鱼儿吞了钩线，,6967547.065617815,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,6970504.365398381,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,6973061.257547114,0.0
sdxp-SuLongWei-WuJiaPo.xml_4,咬定牙关他就不认承。,6981695.829081858,0.0
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,6984832.061409404,0.1
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,7004772.187501444,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,7010616.803457992,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,7022005.226109858,0.0
sdxp-WoHeNi-SiLangTanMu.xml_17,公主叫我盟誓愿，,7027986.096496342,0.0
sdxp-DangNianHan-SanJiZhang.xml_1,登台拜帅是韩信，,7037025.644514682,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_4,左手拉住了李左车，,7038986.620999744,0.0
