因此上发配到登州,0,因此上发配到登州。
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,5559244.853129177,0.0
lsxp-WoBenShi-KongChengJi-2.xml_2,先帝（呀）爷下南阳（呃）御驾三（呃）请，,5560800.620251984,0.0
sdxp-DangNianHan-SanJiZhang.xml_4,仙女嫁的又是何人？,5566868.715120001,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_3,赏罚中公（呃）平莫要自由。,5567290.1954105245,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_5,靠山近水把管收。,5572759.714759911,0.0
lsxp-DaHeYi-SiLangTanMu.xml_11,我父令公官极品，,5608302.03012898,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,5610934.712906312,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,5619596.680073393,0.0
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,5628825.709883194,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,5636279.335704487,0.0
daxp-ChunQiuTing-SuoLinNang.xml_15,莫不是强婚配鸦占鸾巢？,5639097.104599256,0.125
sdxp-WoHeNi-SiLangTanMu.xml_20,黄沙盖脸尸骨不全。,5641798.318837186,0.0
lseh-YangYanZhao-PengBei.xml_1,在中途得一信甚是不明。,5648732.274891939,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_11,我好比龙游在浅沙滩。,5669362.852437759,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_10,千言万（哪）语她不肯，,5671362.446775414,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_1,父纳子（呃）妻礼难容，,5673159.908308292,0.0
lsxp-DaHeYi-SiLangTanMu.xml_7,将身站在了阶前等，,5681407.244648942,0.0
lseh-ZiNaRi-HongYangDong.xml_2,我前番命孟良骸骨搬（呐）请，,5693195.210557404,0.0
lseh-ZenNengGou-BaDaChui.xml_2,前也思（喏）后又想无有计定，,5696779.59645959,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,5699170.722551681,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,5709318.049034937,0.0
lseh-XiRiLi-BaoLianDeng.xml_14,打死了别家子父能作主，,5714762.115945487,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_24,执宝剑将贼的（呀）头割下，,5721613.183629882,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,5731014.181149985,0.0
