儿想娘亲难叩首,0,儿想娘亲难叩首，
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,7354395.237531397,0.0
lsxp-WeiCengKai-QiYuanBao.xml_3,姓刘名安字世昌。,7365224.08865713,0.0
lsxp-ZouYingLong-DaYanSong.xml_12,罢、罢、罢，暂且忍却我的心头恨，,7368129.917516365,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,7378951.994888699,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,7381940.241678531,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_12,无奈何我只得双（呃）膝跪，,7392247.508985442,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,7399729.912622528,0.0
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,7409899.367730478,0.0
lsxp-ZouYingLong-DaYanSong.xml_3,偶遇见小小的顽童放悲声，,7412042.953003346,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,7428956.653461104,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,7433817.149839555,0.0
lsxp-DaHeYi-SiLangTanMu.xml_1,大喝一声（哪）如雷震，,7445949.929534312,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_3,大事还要问程婴。,7449294.345225643,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,7468629.138623587,0.14285714285714285
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,7474528.800148357,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,7475688.534901113,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_4,此一番领兵去镇守，,7488705.875277355,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,7518748.095831378,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_25,险些儿把事（喏）又（哇）作差。,7552936.074561021,0.14285714285714285
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,7553895.909802357,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,7565064.455894563,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,7566223.953953653,0.0
sdxp-WoHeNi-SiLangTanMu.xml_13,公主赠我的金鈚箭，,7567341.6800351655,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,7575039.837351687,0.14285714285714285
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,7609796.1193034155,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_8,哭一声爹娘不能相见，,7612490.4131363,0.14285714285714285
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,7618335.251208598,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,7648485.464244981,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_8,一家人倶丧在宝剑之（喏）下，,7686174.870013683,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,7691776.200953945,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,7731944.122479646,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,7735492.263541099,0.0
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,7769781.20767303,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,7772237.451074469,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_3,悔不该随他人到吕家，,7773035.454710976,0.0
sdxp-WoHeNi-SiLangTanMu.xml_1,我和你好夫妻恩德不浅，,7776469.630283932,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,7777373.970873973,0.0
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,7801384.4780335035,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,7809796.909350253,0.14285714285714285
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,7812171.196417025,0.14285714285714285
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,7860445.506989399,0.0
sdxp-DangNianHan-SanJiZhang.xml_7,要退、要退、偏要退！,7904963.696099828,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,7909007.37752303,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_3,两路分（呐）兵定咸阳。,7919543.069993255,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,7955978.287012656,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,7995899.534228133,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,8012527.488730947,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_5,右手再把栾布拉，,8013145.71568623,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_5,杀猪（喏）沽酒款待与他，,8016965.446405477,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,8029651.437453493,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_6,一连几天我的眉不（呃）展，,8055927.62034622,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_11,我好比龙游在浅沙滩。,8082143.448706995,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,8085825.8765223585,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,8090069.568426161,0.14285714285714285
lsxp-ZiGuDao-HuangHeLou.xml_0,自古道吉人有天相，,8096540.711054293,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,8102080.774532528,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,8147942.567762128,0.0
lseh-XiRiLi-BaoLianDeng.xml_4,那叔齐分长幼不能担任，,8158266.637582267,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,8198894.388085006,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,8207874.682925856,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_11,鸡鸣犬吠五更（呃）天，,8215410.514613043,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_12,听谯楼打罢了二（喏）更鼓下，,8234942.3853292465,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_27,鸡鸣犬吠五更（哪）天，,8243381.548020109,0.0
lsxp-ZiGuDao-HuangHeLou.xml_4,今日主公把宴上，,8249511.095628551,0.0
lsxp-ZouYingLong-DaYanSong.xml_8,上面坐的是有道君，,8251768.649344421,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,8254012.901974528,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_13,但愿得言听计从重整汉家邦、一同回故乡。,8310005.567609635,0.0
lsxp-DaHeYi-SiLangTanMu.xml_13,十五年前沙滩会，,8332862.556581442,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,8372975.577089457,0.14285714285714285
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,8374772.937654114,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_11,我好比龙游在浅沙滩。,8381168.67969878,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,8386866.70992357,0.0
lsxp-JianMaSu-ZhanMaSu.xml_3,失去了街亭差不差。,8403633.579044607,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,8410893.181233184,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,8426277.903965138,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_3,为儿（喏）女我也曾补路修桥。,8432786.971621359,0.14285714285714285
lseh-ZiNaRi-HongYangDong.xml_3,那乃是萧天佐以（呀）假成真；,8441642.86424343,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,8454021.794860605,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,8460227.603132954,0.14285714285714285
sdxp-WoHeNi-SiLangTanMu.xml_18,将身跪在地平川。,8471965.793304572,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_12,我好（呃）比鱼儿吞了钩线，,8478726.426509272,0.14285714285714285
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,8479837.976533405,0.14285714285714285
