眼见得红日坠落在西山后,19,眼见得红日坠落在西山后，
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,8292696.334918098,0.09090909090909091
lseh-YiLunMing-WenZhaoGuan-2.xml_4,幸遇那东皋公行方便，,8316911.108626583,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,8320029.042598648,0.09090909090909091
lseh-XuMaoGong-QinQiongFaPei.xml_3,缘何不救我出笼牢。,8329603.120851884,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,8353619.983151875,0.0
lsxp-WeiCengKai-QiYuanBao.xml_6,行至在中途把雨降，,8361274.505191674,0.09090909090909091
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,8417052.367392134,0.09090909090909091
sdxp-WoHeNi-SiLangTanMu.xml_6,有一桩心腹事不敢明言。,8435869.454222709,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_5,后进咸阳扶保在朝纲。,8438281.835407957,0.18181818181818182
lseh-YiLunMing-ZhuoFangSuDian.xml_8,一家人倶丧在宝剑之（喏）下，,8448415.652822085,0.09090909090909091
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,8477653.110304723,0.09090909090909091
lsxp-JianMaSu-ZhanMaSu.xml_3,失去了街亭差不差。,8488293.447185691,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,8507428.17116036,0.09090909090909091
lsxp-YiShiWu-YuCangJian.xml_8,实指（喏）望到吴国借兵（呐）转，,8523121.557700101,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,8550704.299896006,0.0
lsxp-ZouYingLong-DaYanSong.xml_5,他言道严嵩老贼害他的举家一满门。,8560411.894565167,0.0
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,8563479.514259903,0.09090909090909091
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,8654824.754490087,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,8663928.131987145,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,8671322.218405943,0.0
lsxp-YiShiWu-YuCangJian.xml_2,日月轮流催晓（哇）箭，,8714766.307607748,0.09090909090909091
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,8723215.749487875,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,8727738.599478409,0.09090909090909091
lsxp-ZuoRiLi-YuanMenZhanZi.xml_4,叫焦赞将宝剑悬挂帐外，,8733601.579738881,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,8745135.016854124,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_2,我先前只望他宽宏量（呃）大，,8781813.671731742,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_2,我先前只望他宽宏量（呃）大，,8781813.671731742,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,8784194.743205149,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,8796954.14712389,0.0
lsxp-YiShiWu-YuCangJian.xml_1,叹光明一去不回还（呐）；,8797188.93279033,0.0
lsxp-ZouYingLong-DaYanSong.xml_8,上面坐的是有道君，,8819871.664867397,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,8909641.642951969,0.09090909090909091
lseh-XinZhongYou-WenZhaoGuan.xml_11,鸡鸣犬吠五更（呃）天，,8939706.601632688,0.0
lseh-XiRiLi-BaoLianDeng.xml_6,弟让兄来兄不能应（呐）允，,8959920.942955704,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_0,此时间不可闹笑话，,8975182.446798258,0.0
lseh-XiRiLi-BaoLianDeng.xml_3,传口诏命次子即位为君，,8986085.958017861,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_2,既是为我前来到，,8991652.838913921,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,9014455.625108613,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,9031159.164379485,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,9031159.164379485,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,9048518.732707635,0.09090909090909091
lseh-YiLunMing-ZhuoFangSuDian.xml_3,悔不该随他人到吕家。,9055384.187332666,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,9063999.671066834,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,9082801.09571049,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_12,今日里萧何荐良将，,9090411.998078804,0.09090909090909091
sdxp-SuLongWei-WuJiaPo.xml_22,一马双跨到西凉。,9096052.495389344,0.09090909090909091
lsxp-DaHeYi-SiLangTanMu.xml_5,弟兄们分别十五春，,9098211.869557252,0.0
