娘想儿来泪双流,3,娘想儿来泪双流。
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,5757857.198912979,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_11,我好比龙游在浅沙滩。,5763470.159725476,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_4,吕伯奢可算得义气（呀）大，,5770800.6016366985,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,5783538.771647209,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_3,为什么事到如今耍奸滑。,5786559.166110382,0.0
lsxp-WeiCengKai-QiYuanBao.xml_0,未曾开言泪汪汪，,5795973.215364814,0.14285714285714285
lsxp-CiShiJian-HuaiHeYing-2.xml_2,在长安是你夸大话，,5798480.949664366,0.0
lsxp-DaHeYi-SiLangTanMu.xml_17,弟兄对坐叙寒温。,5803405.9671194805,0.0
lseh-JinZhongXiang-ShangTianTai.xml_5,又听得殿角下大放悲声。,5819119.620075091,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_3,悔不该随他人到吕家。,5831018.324690033,0.0
lsxp-JiangShenEr-SanJiaDian.xml_0,将身儿来至在大街口，,5864984.733519912,0.2857142857142857
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,5876991.656101725,0.0
lseh-YangYanZhao-PengBei.xml_2,迈虎步我且把宝帐来进，,5897416.920616194,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,5902904.418029528,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,5906782.096951673,0.0
lsxp-ZouYingLong-DaYanSong.xml_0,忽听得万岁宣应龙，,5924391.188783843,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_11,鸡鸣犬吠五更（呃）天，,5932254.589375582,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,5932624.923571968,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,5932624.923571968,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,5937866.118894362,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,5937866.118894362,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_5,老娘亲再讲情儿自刎头来。,5942457.395884497,0.42857142857142855
lsxp-DaHeYi-SiLangTanMu.xml_27,听罢言来才知情，,5972664.665873198,0.14285714285714285
lseh-NiangZiBu-SouGuJiuGu.xml_11,不舍娇儿难救孤身。,5975293.539994986,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,5978843.632353144,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,5980184.3313175505,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_0,两国交锋龙虎斗，,5984306.867438773,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_19,父母的冤仇化尘烟，,5984409.877451327,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,5997158.285894877,0.14285714285714285
lsxp-WoBenShi-KongChengJi-1.xml_8,闲无哇事在敌楼哇我亮（呃）一亮琴哪音，,6003551.078036484,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_7,拔出剑将他的满门杀，,6007552.758091168,0.0
lsxp-ZheYiFeng-DingJunShan.xml_2,站立在营门三军叫，,6015872.227019077,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_0,张公道三十五六（哇）子有靠，,6019558.201953177,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,6020382.387624163,0.0
lsxp-ZouYingLong-DaYanSong.xml_11,我本当金（哪）殿奏一本怎奈我官卑职小不能够参大臣。,6033135.215890522,0.0
sdxp-WoHeNi-SiLangTanMu.xml_6,有一桩心腹事不敢明言。,6033188.837220552,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_9,我也曾约法定过三章。,6036226.700226658,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,6039151.898925306,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_2,既是为我前来到，,6054042.85608636,0.14285714285714285
lsxp-ZheYiFeng-DingJunShan.xml_8,三军与（呀）爷归营号，,6057549.55015001,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_27,鸡鸣犬吠五更（哪）天，,6057825.533788945,0.0
lsxp-DaHeYi-SiLangTanMu.xml_28,原来四哥回宋营。,6064274.114082716,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,6065043.499556682,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_5,杀猪（喏）沽酒款待与他，,6070420.989793994,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_6,又谁知此贼的疑心（呐）太（呀）大，,6076091.591637075,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_7,夜夜何曾得安眠。,6076113.236966864,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_7,夜夜何曾得安眠。,6076113.236966864,0.0
lsxp-DaHeYi-SiLangTanMu.xml_11,我父令公官极品，,6076881.771368913,0.0
lsxp-YiShiWu-YuCangJian.xml_2,日月轮流催晓（哇）箭，,6078450.222933471,0.14285714285714285
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,6079337.868778308,0.14285714285714285
lsxp-DaHeYi-SiLangTanMu.xml_1,大喝一声（哪）如雷震，,6088072.995781676,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_3,为什么事到如今耍奸滑？,6107896.886580948,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,6125201.898914276,0.14285714285714285
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,6128150.541290559,0.0
sdxp-WoHeNi-SiLangTanMu.xml_13,公主赠我的金鈚箭，,6135586.631354509,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,6148840.416509496,0.0
lsxp-JiangShenEr-SanJiaDian.xml_14,眼见得红日坠落在西山后，,6156493.630595673,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_35,父母的冤仇化尘烟，,6163545.524611019,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_6,又谁知此贼的疑心太大，,6164418.031828933,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,6175388.977419408,0.14285714285714285
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,6180508.021628375,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,6181736.52857395,0.0
lsxp-YiShiWu-YuCangJian.xml_9,行至在昭关有阻拦。,6198197.100707003,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,6198932.433071276,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,6216958.834599073,0.14285714285714285
lsxp-JianMaSu-ZhanMaSu.xml_3,失去了街亭差不差。,6226828.217428039,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,6227097.49266722,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,6230377.569222302,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,6233668.101914403,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_5,后进咸阳扶保在朝纲。,6239730.603007527,0.0
lseh-JinZhongXiang-ShangTianTai.xml_3,武仗着姚皇兄保定乾坤。,6249650.884559099,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,6249770.726460714,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,6266416.610670648,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,6268058.31208691,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,6269103.993037427,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,6270675.26229718,0.0
sdxp-WoHeNi-SiLangTanMu.xml_7,萧天佐摆天门两国交战，,6273551.2038498875,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,6291708.156408471,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,6309096.756965787,0.14285714285714285
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,6313017.214782556,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,6315054.508544336,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,6318319.289393656,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,6324470.918196109,0.0
sdxp-DangNianHan-SanJiZhang.xml_7,要退、要退、偏要退！,6333894.337776726,0.0
lseh-ZiNaRi-HongYangDong.xml_5,又谁知焦克明他私（呀）自后跟（呐），,6334601.566582476,0.0
lseh-YangYanZhao-PengBei.xml_5,又恐怕惊动了年迈之人。,6348793.490865466,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_1,胡言乱语怎瞒（呐）咱！,6351206.358300703,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,6353951.972687599,0.14285714285714285
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,6356234.193633134,0.0
