芳心寂寞有谁怜,0,芳心寂寞有谁怜，
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,7614229.8531811405,0.0
sdxp-WoHeNi-SiLangTanMu.xml_25,有什么心腹事你只管明言。,7643747.0911064465,0.2857142857142857
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,7653994.1306609446,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_6,奴似嫦娥离月宫。,7667382.9753883714,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,7670168.4235199727,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,7679170.4086086201,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_5,待我来搀扶（哇）你重订鸳盟。,7679793.1109828912,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,7682036.8422482731,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,7688874.4240698284,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,7699526.6977010919,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,7705104.9326820085,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,7706460.3287651176,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,7753972.950786734,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,7756851.3488843599,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,7781033.0238033766,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,7792185.6342662862,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,7797371.1500464156,0.14285714285714285
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,7816270.8127049599,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,7822828.7828588914,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,7833639.5251422748,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,7839002.3856938416,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,7849347.0798067357,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,7854553.3963408675,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,7883994.399257727,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,7892480.652386087,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,7909932.667101074,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,7913407.5270961728,0.0
daxp-ZhiJianTa-WangJiangTing.xml_1,长吁短叹语声低。,7918743.0284102326,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,7946636.8962369151,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,7961555.7705374938,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,7969648.6023391224,0.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,7973358.5646651555,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,7973824.1555530587,0.14285714285714285
