在潼台被贼擒性命好险,0,在潼台被贼擒性命好险，
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,9240121.011626374,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,9259566.1291845888,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,9267253.813167328,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,9319482.214721147,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,9377888.8792478889,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,9378465.1513088122,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,9398253.1702796593,0.1
daxp-GuanShiYin-TianNvSanHua.xml_6,满眼中清妙景灵光万丈，,9445079.5111403745,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,9464471.5918132886,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,9475768.9841188211,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,9506611.0365708545,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,9520067.8895750605,0.1
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,9520450.418333672,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,9522927.9623681065,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,9525207.635235779,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,9526018.0376050938,0.1
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,9531257.3578561191,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,9582056.260956021,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,9601791.0210542791,0.0
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,9633315.2496522944,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,9637194.7837566864,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,9649556.5129063353,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,9656723.1618018448,0.0
daspd-DuShouKong-WangJiangTing.xml_0,独守空帏暗长叹，,9679477.6498091873,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,9710428.0492609758,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,9730341.6935081575,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,9756544.3673349749,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,9772299.4716210105,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,9864626.1132224984,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,9869075.710960526,0.1
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,9870731.1578869075,0.1
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,9909172.4137911871,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,9937045.3785649519,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,9965580.1534300931,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,9979351.3775821533,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,9991149.0758339781,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,10002707.022554075,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,10013154.809072327,0.1
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,10024511.404507086,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,10081842.068324989,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,10089964.521121444,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,10107543.693730801,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,10115402.992607193,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_3,莫负他好春宵一刻千金。,10129678.138067139,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,10144339.790843824,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_4,皓月当空，,10169019.421024932,0.0
daxp-ZheCaiShi-SuoLinNang.xml_7,愧我当初赠木桃。,10180582.326507233,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,10186293.69473408,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,10211526.955832999,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,10231324.301334132,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,10246896.017354943,0.2
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,10264073.983469769,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_0,海岛冰轮初转腾；,10290823.238174722,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,10294584.087440133,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,10305662.172820523,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,10308530.529302159,0.1
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,10318765.193547288,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,10382954.634914178,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,10392261.871362876,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,10427734.54405277,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,10494426.890015444,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,10514601.588710437,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,10616833.645176589,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,10634119.018158881,0.0
daxp-ZhiJianTa-WangJiangTing.xml_9,相公你为何不歇息？,10708793.630527852,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,10709351.305977447,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,10711212.585582988,0.2
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,10722839.194357339,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,10757324.065716544,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,10768861.323249711,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,10777612.892194381,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,10784350.055475701,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,10786120.767597077,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,10799663.440167079,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,10862190.683646772,0.1
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,10919903.530546483,0.1
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,11030284.835957319,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,11059586.505455019,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,11096205.198351242,0.1
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,11107762.958465556,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,11113056.767122187,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_4,想亲娘和老父心乱如麻。,11136067.709637526,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,11148339.939136973,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,11191399.165546356,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,11196789.215469314,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,11205781.916267669,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,11210552.637715733,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,11223029.238246918,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,11262973.034581626,0.1
daxp-GuanShiYin-TianNvSanHua.xml_5,好似我散天花就纷落十方；,11280649.850430232,0.1
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,11297410.638684396,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_4,原来是不耐烦已经睡困，,11352375.480913384,0.0
