但愿得八主贤王从中周旋，早成美眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山,1,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,10267043.652139569,0.027777777777777776
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,10273541.190376807,0.16666666666666666
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,10287024.379308123,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,10290815.587138699,0.08333333333333333
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,10303776.387041055,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,10327192.896376954,0.08333333333333333
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,10361917.194683712,0.08333333333333333
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,10377540.589225296,0.05555555555555555
daxp-ChunQiuTing-SuoLinNang.xml_26,忙把梅香低声儿叫，,10396995.570163749,0.1388888888888889
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,10403766.943140129,0.027777777777777776
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,10409822.244700518,0.08333333333333333
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,10456176.710317755,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,10469783.556406546,0.1111111111111111
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,10477365.928797947,0.08333333333333333
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,10498762.844958385,0.08333333333333333
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,10535787.348657617,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,10544510.955931051,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,10557404.838498889,0.08333333333333333
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,10557867.294412697,0.1111111111111111
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,10590150.309156457,0.08333333333333333
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,10591483.87064185,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,10598058.173520176,0.08333333333333333
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,10598058.173520176,0.1111111111111111
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,10610517.05707667,0.027777777777777776
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,10630661.246010775,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,10650059.057224285,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_4,想亲娘和老父心乱如麻。,10685412.666080138,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,10685693.544499312,0.08333333333333333
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,10696906.334872579,0.027777777777777776
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,10805898.508116104,0.08333333333333333
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,10806989.762921857,0.027777777777777776
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,10810925.908989271,0.027777777777777776
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,10818951.943391835,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,10842047.151132479,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,10849334.815005451,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,10887331.680219585,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,10904483.626564095,0.05555555555555555
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,10920312.072102593,0.027777777777777776
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,10950450.949710244,0.027777777777777776
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,10960919.466314662,0.08333333333333333
sdxp-WoHeNi-SiLangTanMu.xml_25,有什么心腹事你只管明言。,10982086.61996807,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,10992714.846152708,0.027777777777777776
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,11000273.326121325,0.05555555555555555
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,11055927.102838263,0.027777777777777776
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,11064972.830672111,0.05555555555555555
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,11076042.048557244,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,11103267.702735741,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,11134983.671721792,0.19444444444444445
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,11160191.785383767,0.08333333333333333
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,11184264.180750035,0.08333333333333333
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,11205401.856677838,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,11237819.367504271,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,11272186.726767303,0.1388888888888889
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,11276198.777760621,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,11361115.560393555,0.1111111111111111
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,11382917.560437303,0.08333333333333333
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,11394105.292545393,0.1111111111111111
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,11396442.346303953,0.08333333333333333
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,11407605.942571467,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,11417462.008030627,0.08333333333333333
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,11430244.478507636,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,11445803.799044302,0.08333333333333333
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,11476343.642869797,0.08333333333333333
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,11477205.937244924,0.027777777777777776
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,11484837.198265245,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,11550981.790291917,0.1111111111111111
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,11551796.934481241,0.08333333333333333
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,11581316.552422386,0.1111111111111111
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,11593815.878767505,0.027777777777777776
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,11607529.569050763,0.1111111111111111
