跟随着小红娘就能见着她,237,那就是来了我西厢带路的小红娘。
daeh-ZiNaRi-ZhuangYuanMei-1.xml_10,但愿得令公令婆别无异见，,8408671.8761145044,0.09090909090909091
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,8410174.9167302251,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,8414543.3898033798,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,8428920.9863068853,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,8435244.6241688821,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,8468867.9092085492,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,8489596.588966785,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,8493126.7276630029,0.09090909090909091
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,8523213.851218015,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,8552326.740322087,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,8565899.1523305923,0.0
daxp-ZhiJianTa-WangJiangTing.xml_5,隐情不敢实告妻。,8566553.4919801373,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,8579784.501776332,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_0,被纠缠陡想起婚时情景，,8594679.275365172,0.0
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,8608085.3426947221,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,8610732.3039391395,0.09090909090909091
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,8615231.1297802888,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,8622838.1203766577,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,8639803.0113336314,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,8656226.6738235373,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_2,父道那薛平贵是那化郎模样，,8665504.9535661954,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,8682247.6002040282,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,8692192.4302106369,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,8719977.3719221558,0.0
