帝王家深宫怨似水流年,1,帝王家深宫怨似水流年。
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,7861295.4794235881,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,7872022.052051302,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,7881880.5629142337,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,7893867.5182507513,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,7911377.7430220786,0.1
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_1,见玉兔（哇）玉兔又早东升。,7945210.0855599223,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,7946636.9369095517,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,7946641.2434365414,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,7998135.5786785763,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,7998813.0072160661,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,8020275.7004055986,0.1
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,8039421.0945366742,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,8045673.555009882,0.0
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,8047871.432372801,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,8063828.1848245906,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,8067834.3376421714,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,8071002.2512888266,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,8074453.1731848596,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,8096900.3592138104,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,8143073.4082914265,0.0
daxp-ZhiJianTa-WangJiangTing.xml_2,何人来把书信寄？,8157883.9181439877,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,8194832.7928824518,0.0
daeh-TanHongYan-HuoXiaoYu.xml_1,美满姻缘付东流。,8221883.2361459397,0.1
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,8229097.2793563819,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,8234391.8286811011,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,8254393.3227790482,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,8255627.9651760384,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,8300191.2807305343,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_0,海岛冰轮初转腾；,8308621.2985546039,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,8309098.8092421135,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,8332028.8173527876,0.0
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,8348586.9308995456,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,8350481.3221454006,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,8351720.4061187925,0.0
