不想团圆在今朝,1,不想团圆在今朝。
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,7829072.741755222,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,7834856.4924104344,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,7839036.1117106462,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,7852724.1537234737,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,7861847.9442321425,0.14285714285714285
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,7862240.5378812235,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,7862401.0176418852,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_4,皓月当空，,7877771.185757326,0.0
daxp-ZheCaiShi-SuoLinNang.xml_2,回首繁华如梦渺，,7892439.0364708295,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,7935797.2047510911,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,7939431.4810154075,0.0
daxp-ZheCaiShi-SuoLinNang.xml_3,残生一线付惊涛。,7945821.2862461768,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,7949984.3062074129,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,7954440.9415241824,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,7956170.2256417396,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,8012479.4550395207,0.14285714285714285
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,8023896.6558222063,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,8040217.3715309091,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,8067586.2310981611,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,8069647.6699538408,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,8088451.4734232482,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,8151720.0626882548,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,8160289.328473907,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,8220221.112466271,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,8237709.3057728661,0.14285714285714285
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,8247389.1465285392,0.14285714285714285
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,8258916.6970358286,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,8272996.3680512616,0.14285714285714285
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,8275435.8956638435,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,8305233.5629927814,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,8332635.2433520537,0.14285714285714285
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,8362142.2048842786,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,8364864.2560164947,0.0
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,8366699.7597403564,0.14285714285714285
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,8381829.1801453941,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,8391818.6253827829,0.0
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,8409865.8836024757,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,8415064.6878139153,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,8419044.2602173798,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,8423451.948012948,0.14285714285714285
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,8452537.632200148,0.14285714285714285
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,8476659.5854530018,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,8484155.3904034588,0.0
daxp-GuanShiYin-TianNvSanHua.xml_2,菩提树薝卜花千枝掩映，,8490169.007800376,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,8507891.5260548536,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,8533341.2813876066,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,8559055.2754037548,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,8571733.6802684255,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,8576022.4217429888,0.14285714285714285
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,8581887.5129553974,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,8589663.7435513623,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,8596679.5589638781,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,8619044.6228117272,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,8647480.5748419296,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,8674893.9077542759,0.14285714285714285
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,8694721.5741488039,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,8760979.7468265723,0.14285714285714285
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,8766211.6780345775,0.14285714285714285
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,8771953.7577509321,0.0
daxp-ZheCaiShi-SuoLinNang.xml_7,愧我当初赠木桃。,8785468.1100183371,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,8810456.4363786597,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,8847791.7499334626,0.14285714285714285
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,8863078.9424821716,0.42857142857142855
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,8889956.785132071,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,8893808.8279324751,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,8947744.9603781793,0.14285714285714285
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,8963567.1554013118,0.14285714285714285
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,8969075.1507464759,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,8972704.2933823597,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,9007082.0403683148,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,9008518.8577108365,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,9012211.8224156648,0.0
