皓月当空,0,皓月当空，
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,10709671.587976409,0.0
daxp-GuanShiYin-TianNvSanHua.xml_5,好似我散天花就纷落十方；,10711939.418636663,0.0
daxp-GuanShiYin-TianNvSanHua.xml_2,菩提树薝卜花千枝掩映，,10727864.37848784,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,10782290.937491456,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,10831707.777872276,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,10843660.20355892,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_1,见玉兔（哇）玉兔又早东升。,10920489.988750288,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,10931254.679291602,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,10956192.184263727,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,10970824.514128789,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,11054228.374029947,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,11067002.068217227,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,11084706.388422746,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,11088334.193620905,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,11107466.270637818,0.0
daxp-ZhiJianTa-WangJiangTing.xml_9,相公你为何不歇息？,11132599.657533117,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,11157028.335980773,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,11163909.451317595,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,11195339.396798203,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,11217278.474257575,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,11227480.859006632,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,11271685.857080642,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,11302119.039114632,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,11313086.586398007,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,11343076.082278425,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,11359913.385924155,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,11363687.374956781,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,11369282.936706774,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,11408984.723994253,0.0
daeh-SunShangXiang-BieHuangGong.xml_9,叹一声不由人珠泪涟涟。,11481867.9521704,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,11590102.68944891,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,11593014.351122817,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,11623520.768860944,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,11631906.463780267,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,11715276.256141609,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,11717271.989987232,0.25
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,11778359.161140731,0.0
daxp-ZhiJianTa-WangJiangTing.xml_3,害得儿夫犯焦急；,11796012.712493373,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,11834671.990645777,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,11840646.455998557,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,11844954.843901869,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,11847893.103891464,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,11862049.707161931,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,11865036.281906199,0.0
