乾坤分外明,0,乾坤分外明，
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,9516561.4880015869,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,9542945.0562256053,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,9550835.9942365009,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,9560266.1546007954,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,9563150.6952640563,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,9617804.3182391357,0.0
daxp-ZheCaiShi-SuoLinNang.xml_2,回首繁华如梦渺，,9635334.4159003273,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,9638164.6895694267,0.0
daxp-ZhiJianTa-WangJiangTing.xml_3,害得儿夫犯焦急；,9675895.3004592191,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,9730474.3623187467,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,9736787.8021079227,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,9742090.1586502809,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,9743614.0345621873,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,9780261.4565794803,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,9833297.5754112992,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,9869173.9075947478,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,9882041.1331012957,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,9915291.5624511652,0.0
daspd-DuShouKong-WangJiangTing.xml_0,独守空帏暗长叹，,9988646.6427680962,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,9990197.4088847339,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,9992179.7438097559,0.0
