菩提树檐葡花千枝掩映,0,菩提树薝卜花千枝掩映，
daxp-JiaoZhangSheng-HongNiang.xml_0,叫张生隐藏在棋盘之下，,8054533.2608378539,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,8059740.494704389,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,8060801.0126575148,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,8061342.2369233277,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,8061342.2369233277,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,8062535.7307137428,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_5,待我来搀扶（哇）你重订鸳盟。,8091800.5018804288,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,8115626.1672182931,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,8145480.7880492024,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,8182122.5647240179,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,8185289.2224096442,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,8224011.6072752774,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,8236276.7462683721,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,8242174.7481628638,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,8262160.7349930238,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,8283140.1311751651,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,8300902.880384896,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,8320548.5280749397,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,8342961.9054139508,0.0
daxp-GuanShiYin-TianNvSanHua.xml_1,有善才和龙女站立两厢；,8351575.1231652228,0.0
daxp-GuanShiYin-TianNvSanHua.xml_5,好似我散天花就纷落十方；,8359058.4329092735,0.1
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,8366504.996775616,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,8370407.1326686777,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,8375560.7863172647,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,8402393.7266448662,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,8413840.2128218282,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,8426926.3094624802,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,8474494.752309002,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,8474980.4701477103,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,8494397.9853932578,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,8497339.9741635621,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,8535581.6657229643,0.1
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,8574210.8031908106,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,8574647.8822691832,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,8613381.1246094722,0.0
daxp-ZhiJianTa-WangJiangTing.xml_3,害得儿夫犯焦急；,8619683.368206434,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,8635797.0919572338,0.1
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,8650284.3048350085,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,8654098.1429903731,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,8662348.902184451,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,8668962.4128010683,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,8671134.9116892628,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,8689109.020490637,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,8689630.1704710871,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,8699275.9299933612,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,8723756.4382586442,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,8745106.8633537218,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,8748774.3485423997,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,8764908.7457063626,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,8784143.4672068916,0.0
daxp-ZhiJianTa-WangJiangTing.xml_5,隐情不敢实告妻。,8789783.4794655535,0.0
