猛听得金鼓响画角声震,36,猛听得金鼓响画角声震，
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,10600012.716812905,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,10662640.097663701,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,10666847.278264441,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,10673747.386765758,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,10682177.756802958,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,10682574.649867387,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,10686309.31488963,0.1
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,10690146.156182738,0.0
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,10716704.295450956,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,10720399.649945419,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,10751598.670276137,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,10761473.332163861,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,10783776.264491441,0.0
daxp-DangRiLi-SuoLinNang.xml_6,虽然是古青庐以朴为俭，,10794472.929857519,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,10845444.900088537,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,10859224.288605379,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,10872855.199905442,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,10880265.242720913,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,10907773.209734982,0.1
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,10926794.06044656,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,10975367.152310545,0.1
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,10991834.368709177,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,10996701.796530327,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,10997088.862011017,0.1
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,11002053.010378694,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,11048679.179321876,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,11078029.266516913,0.1
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,11088603.636110868,0.1
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,11132898.91417026,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,11144972.279377967,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,11147797.709571932,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,11179573.241212415,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,11182309.955726381,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,11185174.082494164,0.0
