想当年桃花马上威风凛凛,0,想当年桃花马上威风凛凛，
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,8958859.8524298165,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,9012512.5549795944,0.09090909090909091
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,9054867.7581580859,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,9096841.3455954921,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,9125251.8333243858,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,9130786.8201178629,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,9193709.0110509619,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,9290787.4141286593,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,9313151.9594896324,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,9344287.827963395,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,9392469.5546411648,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,9417181.985564949,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,9432397.0335818306,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,9461737.3532702886,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,9466856.4177859463,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,9476376.2571145222,0.09090909090909091
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,9502593.413880283,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,9513410.5028754026,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,9515611.3565897662,0.18181818181818182
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,9551526.6109192707,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,9569220.7931619585,0.0
