观世音满月面珠开妙相,0,观世音满月面珠开妙相，
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,8055794.5190229174,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,8065721.6474114163,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,8080269.0042587649,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,8106103.3310334813,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,8113055.662960805,0.0
daxp-GuanShiYin-TianNvSanHua.xml_6,满眼中清妙景灵光万丈，,8117626.22425438,0.2
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,8129747.5193081824,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,8139685.6819501547,0.0
daxp-DiTouLi-NvQiJie.xml_0,低头离了洪洞县，,8153978.1089869477,0.0
daxp-WoDeNiang-XinAnYi.xml_2,这几日身不爽心中烦闷，,8165807.6772851665,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,8247350.7313467683,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,8260886.9536407441,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_4,原来是不耐烦已经睡困，,8262742.2680969248,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,8274671.6861176686,0.1
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,8365842.6973482426,0.1
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,8377000.6773822922,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,8408024.0088349953,0.0
sdxp-DangNianHan-SanJiZhang.xml_15,未央宫斩的是韩信，,8410317.7224328704,0.0
