隔帘只见一花轿,0,在隔帘只见这一花轿，
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,10367765.005422281,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,10397830.973668519,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,10401033.791784039,0.0
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,10405369.128991449,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,10414495.184709182,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,10414600.179874286,0.14285714285714285
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,10425762.840077687,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,10429997.011301469,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,10430334.016697785,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,10459927.071609357,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,10474907.148695055,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,10475412.007018648,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,10482405.726777747,0.14285714285714285
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,10482405.726777747,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,10520455.144532472,0.14285714285714285
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,10530803.863749117,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,10533775.451984217,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,10535934.153259043,0.0
