但愿得令公令婆别无异见,2,但愿得令公令婆别无异见，
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,9272951.6640346535,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,9299737.4457333758,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,9319509.8150882032,0.09090909090909091
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,9333082.1048886515,0.09090909090909091
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,9339096.7379282545,0.09090909090909091
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,9370345.5032603107,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,9378083.4658718742,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,9391171.5019621328,0.0
daspd-DuShouKong-WangJiangTing.xml_0,独守空帏暗长叹，,9431543.1605749782,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,9475849.4884059336,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,9476825.5683671851,0.09090909090909091
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,9494168.3753944393,0.18181818181818182
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,9511872.7046867907,0.09090909090909091
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,9538637.4094965383,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,9600247.6937980745,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,9648674.3761611488,0.0
daxp-GuanShiYin-TianNvSanHua.xml_0,观世音满月面珠开妙相，,9656856.4137113374,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,9675608.8497698549,0.0
