叫张生隐藏在棋盘之下,13,叫张生隐藏在棋盘之下，
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,8949977.7120599113,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,8955916.3375734203,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,8974263.9423168004,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,8988197.4418339711,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,8995146.487720741,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,9001277.0748923235,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,9042512.0913315862,0.0
daspd-DuShouKong-WangJiangTing.xml_2,孀居愁苦泪洗面，,9104886.7606744841,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,9132248.6435685921,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,9152119.6341133248,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,9204976.7616067939,0.1
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,9243608.8635045141,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,9251899.2467869353,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,9257537.5570876375,0.0
daxp-GuanShiYin-TianNvSanHua.xml_0,观世音满月面珠开妙相，,9277874.231811991,0.0
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,9300328.5373613127,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,9302614.9432885442,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,9403693.9701789189,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,9416907.3005035333,0.1
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,9418860.5769709628,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,9428871.8652214203,0.1
daxp-ZheCaiShi-SuoLinNang.xml_1,不想团圆在今朝。,9428871.8652214203,0.1
