春秋亭外风雨暴,1,春秋亭外风雨暴，
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,6950211.0227202252,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,6952831.7363206288,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,6955265.6360002523,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,6980435.8914515106,0.0
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,6983149.3641676204,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,6995671.6433368232,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,7001208.873891619,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,7002855.2911906196,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,7010805.4418734126,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,7019798.8994216537,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,7027582.0006498666,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,7034477.7940772921,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,7037260.2759410264,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,7067997.7168050166,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,7072338.7701638397,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,7074965.7189090643,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,7123416.3775967136,0.0
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,7138792.2217068523,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,7146232.7739290865,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,7147278.9197698236,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,7151269.3725760933,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,7151666.0256204121,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,7174773.9722666107,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,7174846.8923808979,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,7185133.7533029383,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,7222027.158198732,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,7228299.2069772659,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,7243251.9856197564,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,7244955.3551458362,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,7247269.461624207,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,7250363.2128042197,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,7253430.9834832316,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,7256600.5794520713,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,7261482.0205216641,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,7261866.2116280496,0.0
daeh-TanHongYan-HuoXiaoYu.xml_1,美满姻缘付东流。,7262384.2114160461,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,7299989.6093721362,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,7310878.6074108062,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,7320882.7593143033,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,7325560.831576664,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,7351606.4540144978,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,7378104.4178529987,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,7382258.5575932516,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,7420952.729131395,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,7425154.05795334,0.0
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,7449812.4840932107,0.0
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,7470228.5347422166,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,7490760.7314323029,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,7510115.547886868,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,7511690.5621296326,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,7519997.7069162186,0.0
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,7522040.4014028152,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,7529229.8848399874,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,7540807.3647363884,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,7547144.3029297637,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,7548939.9784300998,0.0
