此时却又明白了,0,此时却又明白了，
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,7922793.0763361147,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,7923700.3171864515,0.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,7938887.7442417024,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,8032819.8813215373,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,8072435.8092494281,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,8073247.3392681368,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,8101278.4448817661,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,8113625.2598188482,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,8134447.4157844456,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,8141336.0761128459,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,8169595.6010376792,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,8176168.584228701,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,8212816.1374837253,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,8222484.6174307568,0.0
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,8236714.3679005839,0.14285714285714285
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,8289440.5822872967,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,8311259.6613715123,0.14285714285714285
daxp-SuSanLi-NvQiJie.xml_0,苏三离了洪洞县，,8337402.6879274901,0.14285714285714285
sdxp-DangNianHan-SanJiZhang.xml_17,仙女配的是董永，,8337402.6879274901,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,8339276.8498799996,0.14285714285714285
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,8379749.4807065111,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,8384575.2650100803,0.0
