这桩事闷得我柔肠百转,0,这桩事闷得我柔肠百转，
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,13947503.938585261,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,13947761.859460184,0.2
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,13971033.157846179,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,13971521.327490035,0.1
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,14021030.006843245,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,14024601.128933799,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,14033425.683041936,0.1
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,14035765.114890207,0.1
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,14057999.181816816,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,14067383.7954206,0.1
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,14084381.826260095,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,14108035.767466951,0.0
lsxp-WoBenShi-KongChengJi-2.xml_6,周文王访姜尚周室大振，,14148892.98910005,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,14154289.162418982,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,14237190.274734523,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,14293206.530441264,0.2
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,14304571.111942975,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,14313792.84573669,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,14325346.101705873,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,14341264.475876747,0.0
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,14342581.11658683,0.1
lsxp-ZheYiFeng-DingJunShan.xml_2,站立在营门三军叫，,14351506.612636179,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,14402642.181948068,0.1
lsxp-YiShiWu-YuCangJian.xml_0,一事无成两鬓斑，,14419785.461449755,0.1
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,14429620.746847492,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,14445885.560771734,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,14454330.272951718,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,14470365.613538584,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,14475422.831254354,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,14498232.078310532,0.1
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,14523570.671961058,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,14528755.502413105,0.1
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,14545825.909876086,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,14553240.595412618,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,14572723.215188446,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,14581979.676726284,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,14619096.129701655,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,14658558.793244667,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_4,此一番领兵去镇守，,14670768.835836813,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,14679190.689182136,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,14701131.864491915,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,14710182.99597238,0.1
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,14725721.044292472,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,14737797.480482129,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,14742691.664330091,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,14777413.934021562,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,14780220.595710112,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,14781893.454541791,0.1
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,14798982.472039221,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,14802739.443494996,0.1
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,14808007.838840622,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,14810446.064664785,0.1
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,14856194.010684529,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,14861963.488338005,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,14865603.331930613,0.0
