绿柳枝洒甘露三千界上,1,绿柳枝酒甘露三千界上，
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,9551458.7482017688,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,9554007.1316063181,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,9570342.9639605191,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,9576559.7095498145,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,9578508.8081263918,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,9620364.7723375596,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,9631366.9191406555,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,9631577.8446514066,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,9658438.4392380081,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,9673681.3582064696,0.1
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,9695006.6701926216,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,9713189.2349705081,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,9714089.6126317866,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,9716172.3403009363,0.1
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,9716172.3403009363,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,9767767.1517801732,0.1
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,9800493.566613635,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,9892241.8781790528,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,9895406.3592340276,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,9914631.3188441545,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,9920530.8562828638,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,9931416.7025432289,0.0
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,9933093.0470588133,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,9940157.9565561898,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,9942360.629461078,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,9984190.3290917538,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,9987147.3000733741,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,10024507.872491753,0.0
daxp-ZhiJianTa-WangJiangTing.xml_9,相公你为何不歇息？,10119844.851661561,0.0
