但愿得状元郎月老引线,0,但愿得状元媒月老引线，
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,10618549.028597867,0.1
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,10640268.255250504,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,10649571.35100713,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,10715014.110782009,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,10730289.767724961,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,10744775.770946724,0.1
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,10769128.733925246,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,10834657.293777633,0.0
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,10854676.406147035,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,10863388.599257506,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,10869466.690192992,0.0
daxp-DangRiLi-SuoLinNang.xml_6,虽然是古青庐以朴为俭，,10876466.365615649,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,10926914.001380015,0.0
daxp-DiTouLi-NvQiJie.xml_0,低头离了洪洞县，,10971644.140113644,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,10978533.722960686,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,10997634.756560933,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,11018826.647024417,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,11040540.976945598,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,11100573.65968034,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,11133452.813076349,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,11146121.481207943,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,11170238.577071611,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,11219898.577712424,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,11222983.315293944,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,11237054.70121967,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,11247842.278637554,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,11256671.007183513,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,11264845.527994584,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,11292424.206037121,0.1
