宋天子主婚姻此事成全,0,宋天子主婚姻此事成全。
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,8481775.7656704169,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,8483512.8700002264,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,8503397.1592332777,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,8503706.8913094066,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,8527331.3136539478,0.0
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,8529824.423277095,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,8532376.1926501021,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,8544280.6560376175,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,8550633.029568918,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,8564906.0123183019,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,8572600.2334201131,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,8574046.1482726447,0.1
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,8589306.0354799964,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,8600950.9239361193,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,8618492.9648111351,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,8625344.8286031615,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,8635789.7485700008,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,8647426.2066279016,0.1
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,8654042.3126685899,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,8684760.7721681297,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,8690953.4825175647,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,8753403.2017038539,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,8759282.3401496485,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,8759282.3401496485,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,8780740.0367263723,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,8782379.1620546337,0.0
daxp-ErTingDe-SuoLinNang.xml_18,人情冷暖凭空造，,8821977.6613440793,0.0
