有善才和龙女站立两厢,3,有善才和龙女站立两厢；
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,7322793.0711010443,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_0,被纠缠陡想起婚时情景，,7324174.6320276726,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,7326877.3325600633,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,7356410.6956991451,0.1
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,7369394.4166018134,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,7371132.2432477074,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,7376232.2069002818,0.0
daxp-GuanShiYin-TianNvSanHua.xml_2,菩提树薝卜花千枝掩映，,7397885.0599322896,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,7440929.4761664281,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,7463503.20208936,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,7470933.2878108704,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,7494394.35767012,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,7498529.29944913,0.0
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,7500458.9329765448,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,7504891.8918776251,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,7505280.9665879859,0.0
daxp-ZheCaiShi-SuoLinNang.xml_7,愧我当初赠木桃。,7510721.7072219057,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,7527785.672929422,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,7534432.748421805,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,7593587.4688403551,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,7649781.3155427119,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,7656793.5627152082,0.0
danbz-KanDaWang-BaWangBieJi.xml_1,我这里出帐外且散愁情。,7657697.0176200578,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,7662182.1157066924,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,7666942.2995098094,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,7681548.6012835233,0.1
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_4,皓月当空，,7704725.4601591043,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_6,奴似嫦娥离月宫。,7706970.2097612247,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,7716162.7072469434,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,7733795.7400367549,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_3,莫负他好春宵一刻千金。,7780541.455551005,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,7799353.4069282366,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,7803881.8629789948,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,7804104.6819935367,0.1
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,7828184.2963378709,0.1
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,7865344.6977008348,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,7865344.6977008348,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,7872069.3712607315,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,7910185.9216404008,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,7918913.1107560853,0.1
daspd-DuShouKong-WangJiangTing.xml_3,为避狂徒到此间。,7973517.9821913103,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,7979955.3184712548,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,8000717.9078588104,0.1
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,8037530.4024886396,0.1
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,8071134.4621455148,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,8085562.7990144473,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,8092845.8183547556,0.1
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,8093807.7580555277,0.0
daxp-DangRiLi-SuoLinNang.xml_6,虽然是古青庐以朴为俭，,8122011.5261563556,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,8137109.9521248415,0.1
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,8145554.6597318025,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,8149929.4288440514,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,8151374.9010054953,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,8154620.4337259904,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,8176182.8992361585,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,8217271.8987511816,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,8231160.477039814,0.1
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,8244688.0029467568,0.1
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,8301469.994994035,0.1
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,8342071.7309625866,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,8367746.5286065629,0.0
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,8399770.2856707908,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,8436107.8921030499,0.1
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,8470021.2384594996,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,8479306.1512299031,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,8481868.1435574926,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,8506164.9287303817,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,8538298.5454987995,0.1
daxp-ZhiJianTa-WangJiangTing.xml_5,隐情不敢实告妻。,8564830.971986549,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,8585728.6500769556,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,8594840.0089314952,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,8595916.160535492,0.1
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,8610323.9505525827,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,8612638.6946344823,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,8612859.5091287736,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,8614477.9747568592,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,8628483.9783647712,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,8629352.7090317905,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,8718043.3525744323,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,8725570.0638157744,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,8732324.4735519104,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_1,见玉兔（哇）玉兔又早东升。,8744969.6543861274,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,8763585.6502913609,0.0
danbz-KanDaWang-BaWangBieJi.xml_2,轻移步走向前荒郊站定，,8766219.3675061874,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,8794575.5512411948,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,8832433.1744545698,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,8847130.8890076522,0.1
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,8853768.5438356176,0.1
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,8876010.2201420255,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,8889490.9703455511,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,8914017.4663216602,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,8931311.0978839099,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,8937318.2856226359,0.1
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,8948195.1295161415,0.0
daxp-GuanShiYin-TianNvSanHua.xml_3,白鹦鹉与仙鸟在灵岩神岘上下飞翔；,8981975.3250468597,0.0
