猛听的金鼓响画角声震,0,猛听得金鼓响画角声震，
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,8122693.7796665588,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,8131162.2048845822,0.0
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,8148540.1238298137,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,8162006.596637913,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_5,恰便似嫦娥离月宫，,8170037.9907305464,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,8229140.2724086782,0.0
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,8259786.719480115,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,8290327.781260577,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,8331200.1027326714,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,8334207.9346073614,0.1
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,8341490.7236106917,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,8370617.7377629345,0.0
daxp-ZheCaiShi-SuoLinNang.xml_2,回首繁华如梦渺，,8373766.7734556729,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,8376756.3096152116,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,8379173.5257984325,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,8401599.7785822861,0.0
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,8430024.0454341713,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,8435197.4644965027,0.0
daxp-ErTingDe-SuoLinNang.xml_8,怜贫济困是正道，,8437043.3740038108,0.0
daxp-ZheCaiShi-SuoLinNang.xml_6,种福得福如此报，,8437448.1948853582,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,8442018.4143707138,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,8457791.3628239632,0.1
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,8480102.4292116482,0.1
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,8483945.605067322,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,8485074.2693837918,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,8507466.1882476099,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,8509430.6554680001,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,8512188.6925892755,0.0
daxp-GuanShiYin-TianNvSanHua.xml_3,白鹦鹉与仙鸟在灵岩神岘上下飞翔；,8532820.9888737407,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,8562232.9683975745,0.2
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,8593733.7744575646,0.0
daeh-TanHongYan-HuoXiaoYu.xml_1,美满姻缘付东流。,8623754.4701767135,0.0
daxp-DangRiLi-SuoLinNang.xml_6,虽然是古青庐以朴为俭，,8649469.8565507717,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,8672492.5895261019,0.0
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,8686038.7251227424,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,8690740.5381683242,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,8696620.7608706597,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,8712169.5881516337,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,8716273.9770644195,0.0
daxp-ZhiJianTa-WangJiangTing.xml_1,长吁短叹语声低。,8782874.9637685549,0.1
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,8836602.0758753326,0.0
daxp-QiaoLouShang-HuangShanLei.xml_10,我不免引寒机伴奴坐等，,8881731.289137885,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,8897170.8233944122,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,8903919.9799332302,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,8951973.0231893472,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,8958830.7635859549,0.0
