待我来再与你重订鸳盟,0,待我来搀扶（哇）你重订鸳盟。
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,6353124.6124292621,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,6357936.0652907062,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,6368518.7579286573,0.0
daxp-JiaoZhangSheng-HongNiang.xml_2,放大胆忍气吞声休害怕，,6407430.7319603553,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,6417167.770468357,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,6437835.2555766907,0.2
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,6447509.7339038681,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,6451901.058870066,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,6451901.058870066,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,6453597.9932537097,0.0
daxp-ZheCaiShi-SuoLinNang.xml_2,回首繁华如梦渺，,6500586.9634755868,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,6513047.6874174085,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,6534676.3526652092,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,6548933.1316284472,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,6588240.1467068158,0.1
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,6605924.5775103113,0.1
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,6624354.1925982255,0.1
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,6655659.914870156,0.1
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,6667888.2365870159,0.1
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,6692169.3681532955,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,6728076.4324250417,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,6758626.0055565499,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,6778464.3248379007,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,6803287.4423121735,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,6804084.1753908936,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,6811195.67607179,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,6841807.2990356367,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,6909239.9230603091,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,6942923.7957506385,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,6958279.5229846165,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,6965588.3228936326,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_1,见玉兔（哇）玉兔又早东升。,6973852.1893605329,0.0
