想当年桃花马上威风凛凛,0,想当年桃花马上威风凛凛，
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,9774982.3676157948,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,9804307.3305277079,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,9808635.2055300158,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,9824490.2645927221,0.18181818181818182
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,9889813.9738912731,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,9963887.9607257508,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,9967435.7300195955,0.0
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,9973079.2156257909,0.18181818181818182
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,9979643.165355945,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,10006161.949467292,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,10006622.287996359,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,10010242.962676737,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,10018074.196106777,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,10054016.482907202,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,10120827.894487701,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,10154785.176580377,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,10282734.541869527,0.0
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,10316541.376653723,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,10389623.378858577,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,10429859.063687276,0.09090909090909091
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,10439901.629161226,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,10488033.996037919,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,10534002.133476922,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,10550609.405573554,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,10567309.171157543,0.0
